Mloc,Mvg,Mevg,Mivg,Hn,Hvol,Hpgmlen,Hdiff,Hintell,Heffort,Hb,Htime,Hloc,Hcomm,Hblank,loc+comm,uniOp,uniOpnd,totOp,totOpnd,brnchcnt,defect,predict:vg>10,predict:evg>14.5,predict:ivg>9.2,predict:loc>50
65,12,3,8,263,1653.1,0.07,15.19,108.84,25108,0.55,1395,0,34,17,0,17,61,154,109,23,FALSE,yes,no,no,yes
8,1,1,1,49,181.3,0.14,7,25.9,1269,0.06,71,0,3,3,0,7,6,37,12,1,FALSE,no,no,no,no
18,4,1,4,80,428.6,0.13,7.89,54.3,3383,0.14,188,2,2,12,0,13,28,46,34,7,FALSE,no,no,no,no
6,1,1,1,11,30.9,0.38,2.67,11.58,82,0.01,5,1,2,0,0,4,3,7,4,1,FALSE,no,no,no,no
48,7,1,7,250,1627,0.07,14.23,114.37,23144,0.54,1286,4,28,39,0,20,71,149,101,13,FALSE,no,no,no,no
127,10,1,10,737,5334.7,0.04,24.9,214.24,132838,1.78,7380,4,31,77,0,25,126,486,251,19,FALSE,no,no,yes,yes
21,4,1,4,77,391.7,0.13,7.64,51.3,2991,0.13,166,0,23,55,0,12,22,49,28,7,FALSE,no,no,no,no
32,2,1,2,214,1284,0.05,18.78,68.36,24117,0.43,1340,1,8,12,0,18,46,118,96,3,FALSE,no,no,no,no
41,6,1,5,169,985.8,0.06,17.21,57.28,16963,0.33,942,3,47,40,0,21,36,110,59,11,FALSE,no,no,no,no
23,5,1,5,51,236.8,0.13,7.85,30.19,1858,0.08,103,1,20,13,0,12,13,34,17,9,FALSE,no,no,no,no
8,2,1,1,36,158.1,0.18,5.5,28.75,870,0.05,48,0,6,7,0,11,10,26,10,3,FALSE,no,no,no,no
25,4,1,1,95,475,0.07,15,31.67,7125,0.16,396,0,8,7,0,16,16,65,30,7,FALSE,no,no,no,no
8,2,1,1,12,39.9,0.27,3.75,10.63,149,0.01,8,1,6,3,0,6,4,7,5,3,FALSE,no,no,no,no
17,3,1,3,102,535.3,0.07,14.57,36.74,7800,0.18,433,2,2,9,0,17,21,66,36,5,FALSE,no,no,no,no
38,5,1,5,176,1047.9,0.05,19.25,54.44,20173,0.35,1121,2,12,12,0,22,40,106,70,9,FALSE,no,no,no,no
31,5,5,5,140,809.4,0.07,14.84,54.55,12010,0.27,667,10,9,23,0,18,37,79,61,9,FALSE,no,no,no,no
21,4,1,3,61,310.3,0.1,10.26,30.24,3185,0.1,177,0,3,3,0,15,19,35,26,7,FALSE,no,no,no,no
21,4,1,3,61,310.3,0.1,10.26,30.24,3185,0.1,177,0,3,3,0,15,19,35,26,7,FALSE,no,no,no,no
14,2,1,1,25,97.7,0.09,11,8.88,1074,0.03,60,0,0,3,0,10,5,14,11,3,FALSE,no,no,no,no
6,1,1,1,16,57.4,0.29,3.5,16.39,201,0.02,11,0,4,0,0,7,5,11,5,1,FALSE,no,no,no,no
29,5,1,2,111,569.4,0.05,20.78,27.4,11830,0.19,657,0,17,6,0,17,18,67,44,9,FALSE,no,no,no,no
18,3,1,1,91,459,0.08,12.89,35.6,5919,0.15,329,1,11,8,0,14,19,56,35,5,FALSE,no,no,no,no
55,11,5,8,217,1311.6,0.04,26.83,48.89,35190,0.44,1955,0,8,17,0,25,41,129,88,21,FALSE,yes,no,no,yes
47,3,1,1,150,937.2,0.06,15.65,59.87,14671,0.31,815,0,39,14,0,21,55,68,82,5,FALSE,no,no,no,no
32,6,4,2,95,498.6,0.04,22.85,21.82,11393,0.17,633,2,14,10,0,21,17,58,37,11,FALSE,no,no,no,no
32,3,1,1,538,3124.4,0.02,53.2,58.73,166216,1.04,9234,3,13,22,0,16,40,272,266,5,FALSE,no,no,no,no
38,4,1,1,165,911.4,0.04,24.28,37.54,22126,0.3,1229,0,11,10,0,19,27,96,69,6,FALSE,no,no,no,no
14,2,1,1,56,260.1,0.14,7.07,36.78,1839,0.09,102,0,0,0,0,11,14,38,18,3,FALSE,no,no,no,no
60,5,1,5,331,2164.5,0.05,22.12,97.85,47877,0.72,2660,9,14,39,0,26,67,217,114,9,FALSE,no,no,no,yes
10,1,1,1,32,125,0.16,6.13,20.41,766,0.04,43,0,2,5,0,7,8,18,14,1,FALSE,no,no,no,no
16,3,1,3,73,358.2,0.11,9,39.8,3224,0.12,179,10,6,9,0,12,18,46,27,5,FALSE,no,no,no,no
12,2,1,2,33,142.6,0.16,6.11,23.34,872,0.05,48,0,4,4,0,11,9,23,10,3,FALSE,no,no,no,no
13,2,1,1,41,174.2,0.1,9.63,18.1,1676,0.06,93,0,0,3,0,11,8,27,14,3,FALSE,no,no,no,no
16,2,1,2,42,192.6,0.11,9.1,21.16,1752,0.06,97,0,13,5,0,14,10,29,13,3,FALSE,no,no,no,no
27,4,3,3,95,521.7,0.06,18.12,28.78,9456,0.17,525,3,5,22,0,25,20,66,29,7,FALSE,no,no,no,no
31,5,4,4,110,604.1,0.06,17.25,35.02,10421,0.2,579,3,15,19,0,23,22,77,33,9,FALSE,no,no,no,no
10,1,1,1,10,28.1,0.5,2,14.04,56,0.01,3,0,1,5,0,4,3,7,3,1,FALSE,no,no,no,no
37,5,1,3,93,494.9,0.06,16,30.93,7919,0.16,440,2,28,12,0,20,20,61,32,9,FALSE,no,no,no,no
8,1,1,1,9,27,0.4,2.5,10.8,68,0.01,4,0,1,2,0,5,3,6,3,1,FALSE,no,no,no,no
8,1,1,1,33,134.9,0.16,6.19,21.8,835,0.04,46,0,2,6,0,9,8,22,11,1,FALSE,no,no,no,no
9,1,1,1,44,183.5,0.14,7,26.21,1284,0.06,71,1,5,5,0,9,9,30,14,1,FALSE,no,no,no,no
9,1,1,1,36,140.7,0.12,8.25,17.05,1160,0.05,64,0,5,3,0,9,6,25,11,1,FALSE,no,no,no,no
7,1,1,1,8,22.5,0.4,2.5,8.98,56,0.01,3,0,1,2,0,5,2,6,2,1,FALSE,no,no,no,no
26,4,3,2,99,511.8,0.08,13.2,38.77,6756,0.17,375,0,6,5,0,16,20,66,33,7,FALSE,no,no,no,no
7,1,1,1,25,97.7,0.17,6,16.28,586,0.03,33,0,2,5,0,9,6,17,8,1,FALSE,no,no,no,no
14,1,1,1,86,365.3,0.08,13.05,27.99,4767,0.12,265,0,6,5,0,9,10,57,29,1,FALSE,no,no,no,no
9,1,1,1,14,46.5,0.21,4.67,9.97,217,0.02,12,0,0,4,0,7,3,10,4,1,FALSE,no,no,no,no
11,1,1,1,23,82.5,0.14,7,11.78,577,0.03,32,0,0,5,0,8,4,16,7,1,FALSE,no,no,no,no
34,6,1,3,135,745.7,0.08,12.6,59.16,9398,0.25,522,0,8,6,0,17,29,92,43,11,FALSE,no,no,no,no
7,1,1,1,11,34.9,0.29,3.5,9.96,122,0.01,7,0,1,4,0,7,2,9,2,1,FALSE,no,no,no,no
31,7,1,5,126,618.3,0.04,23.5,26.31,14529,0.21,807,2,30,21,0,15,15,79,47,13,FALSE,no,no,no,no
8,1,1,1,9,27,0.4,2.5,10.8,68,0.01,4,0,1,2,0,5,3,6,3,1,FALSE,no,no,no,no
6,1,1,1,10,30,0.33,3,10,90,0.01,5,0,0,2,0,6,2,8,2,1,FALSE,no,no,no,no
7,1,1,1,10,33.2,0.29,3.5,9.49,116,0.01,6,0,0,2,0,7,3,7,3,1,FALSE,no,no,no,no
15,2,1,1,60,285.3,0.13,7.6,37.54,2168,0.1,120,0,0,7,0,12,15,41,19,3,FALSE,no,no,no,no
16,1,1,1,64,289.5,0.12,8.36,34.64,2419,0.1,134,0,0,7,0,9,14,38,26,1,FALSE,no,no,no,no
19,1,1,1,64,293.4,0.1,9.73,30.16,2855,0.1,159,0,1,13,0,11,13,41,23,1,FALSE,no,no,no,no
130,29,7,27,729,5103,0.02,55.88,91.32,285171,1.7,15843,45,13,53,0,34,94,420,309,57,FALSE,yes,no,yes,yes
30,4,1,4,122,630.7,0.05,20.71,30.45,13065,0.21,726,3,3,12,0,15,21,64,58,7,FALSE,no,no,no,no
34,6,1,6,146,771.7,0.08,12,64.31,9260,0.26,514,4,0,10,0,12,27,92,54,11,FALSE,no,no,no,no
20,6,6,2,241,1299.6,0.02,46,28.25,59779,0.43,3321,1,6,6,0,23,19,165,76,11,FALSE,no,no,no,no
17,2,1,1,53,252,0.07,14.38,17.53,3623,0.08,201,0,0,7,0,15,12,30,23,3,FALSE,no,no,no,no
17,2,1,1,53,252,0.07,14.38,17.53,3623,0.08,201,0,0,6,0,15,12,30,23,3,FALSE,no,no,no,no
26,8,8,1,210,1125.1,0.04,23.02,48.87,25900,0.38,1439,0,5,3,0,17,24,145,65,15,FALSE,no,no,no,no
10,1,1,1,22,69.7,0.18,5.63,12.4,392,0.02,22,0,0,0,0,5,4,13,9,1,FALSE,no,no,no,no
6,1,1,1,11,36.5,0.33,3,12.18,110,0.01,6,0,0,0,0,6,4,7,4,1,FALSE,no,no,no,no
8,1,1,1,11,30.9,0.38,2.67,11.58,82,0.01,5,0,0,3,0,4,3,7,4,1,FALSE,no,no,no,no
93,17,7,6,407,2692.2,0.02,48.06,56.02,129375,0.9,7187,13,55,24,0,35,63,234,173,33,FALSE,yes,no,no,yes
128,25,12,9,790,5664.2,0.02,54.33,104.25,307757,1.89,17098,33,58,2,0,36,108,464,326,49,FALSE,yes,no,no,yes
28,3,1,3,103,551.8,0.09,11.69,47.22,6449,0.18,358,0,11,1,0,17,24,70,33,5,FALSE,no,no,no,no
19,2,1,2,62,312.8,0.11,9.41,33.23,2944,0.1,164,0,3,1,0,16,17,42,20,3,FALSE,no,no,no,no
19,2,1,2,57,282.4,0.11,8.91,31.71,2515,0.09,140,0,3,2,0,15,16,38,19,3,FALSE,no,no,no,no
21,3,1,3,62,298.1,0.12,8.63,34.56,2571,0.1,143,0,2,2,0,12,16,39,23,5,FALSE,no,no,no,no
154,17,10,13,695,5143.6,0.03,38.57,133.35,198396,1.71,11022,20,119,26,0,36,133,410,285,28,FALSE,yes,no,yes,yes
125,18,1,13,438,3131.6,0.02,40.25,77.8,126046,1.04,7003,13,50,21,0,46,96,270,168,31,FALSE,yes,no,yes,yes
14,2,1,1,24,100.1,0.13,7.86,12.74,786,0.03,44,0,1,4,0,11,7,14,10,3,FALSE,no,no,no,no
127,30,8,5,690,4697.1,0.03,36.21,129.72,170067,1.57,9448,7,39,5,0,25,87,438,252,59,FALSE,yes,no,no,yes
12,1,1,1,29,110.4,0.3,3.33,33.12,368,0.04,20,0,0,0,0,5,9,17,12,1,FALSE,no,no,no,no
18,2,1,2,72,372.2,0.09,11.63,32,4330,0.12,241,0,9,2,0,17,19,46,26,3,FALSE,no,no,no,no
20,3,1,3,89,452.8,0.09,11.56,39.18,5232,0.15,291,0,3,5,0,16,18,63,26,5,FALSE,no,no,no,no
36,4,1,4,156,851.7,0.06,17.63,48.31,15015,0.28,834,2,13,3,0,17,27,100,56,6,FALSE,no,no,no,no
160,32,7,20,488,3443,0.04,22.73,151.5,78245,1.15,4347,12,33,22,0,29,104,325,163,58,FALSE,yes,no,yes,yes
47,10,9,7,318,1980.8,0.05,18.86,105.02,37359,0.66,2076,6,7,8,0,21,54,221,97,19,FALSE,no,no,no,no
6,1,1,1,6,15.5,0.5,2,7.75,31,0.01,2,0,0,0,0,4,2,4,2,1,FALSE,no,no,no,no
6,1,1,1,6,15.5,0.5,2,7.75,31,0.01,2,0,0,0,0,4,2,4,2,1,FALSE,no,no,no,no
38,4,3,1,153,892.4,0.07,14.75,60.5,13163,0.3,731,3,35,2,0,19,38,94,59,7,FALSE,no,no,no,no
6,1,1,1,6,15.5,0.5,2,7.75,31,0.01,2,0,0,0,0,4,2,4,2,1,FALSE,no,no,no,no
12,1,1,1,21,75.3,0.5,2,37.64,151,0.03,8,0,0,0,0,4,8,13,8,1,FALSE,no,no,no,no
12,1,1,1,25,92.5,0.38,2.67,34.69,247,0.03,14,0,0,0,0,4,9,13,12,1,FALSE,no,no,no,no
9,1,1,1,25,92.5,0.38,2.67,34.69,247,0.03,14,0,0,0,0,4,9,13,12,1,FALSE,no,no,no,no
41,2,1,2,241,1472.2,0.06,15.69,93.81,23102,0.49,1283,0,7,14,0,17,52,145,96,3,FALSE,no,no,no,no
30,2,1,2,151,852.2,0.07,14.68,58.05,12512,0.28,695,0,6,5,0,17,33,94,57,3,FALSE,no,no,no,no
6,1,1,1,7,19.7,0.4,2.5,7.86,49,0.01,3,0,0,0,0,5,2,5,2,1,FALSE,no,no,no,no
20,5,1,1,63,288.9,0.05,21,13.75,6066,0.1,337,0,0,4,0,16,8,42,21,9,FALSE,no,no,no,no
149,15,11,6,781,5576,0.02,46.92,118.83,261641,1.86,14536,2,65,10,0,31,110,448,333,29,FALSE,yes,no,no,yes
6,1,1,1,8,22.5,0.5,2,11.23,45,0.01,3,0,0,0,0,4,3,5,3,1,FALSE,no,no,no,no
16,3,1,2,70,353.1,0.13,7.71,45.77,2724,0.12,151,2,18,10,0,12,21,43,27,5,FALSE,no,no,no,no
15,1,1,1,46,179.7,0.19,5.25,34.23,944,0.06,52,0,0,5,0,5,10,25,21,1,FALSE,no,no,no,no
13,1,1,1,69,298.2,0.06,15.5,19.24,4622,0.1,257,0,6,5,0,10,10,38,31,1,FALSE,no,no,no,no
6,1,1,1,13,45,0.29,3.5,12.85,157,0.01,9,0,0,0,0,7,4,9,4,1,FALSE,no,no,no,no
14,2,1,1,37,151.2,0.11,9.29,16.29,1404,0.05,78,3,0,4,0,10,7,24,13,3,FALSE,no,no,no,no
14,2,1,1,37,151.2,0.11,9.29,16.29,1404,0.05,78,3,0,4,0,10,7,24,13,3,FALSE,no,no,no,no
27,3,1,1,130,744.6,0.08,12.04,61.85,8965,0.25,498,0,39,12,0,15,38,69,61,5,FALSE,no,no,no,no
19,2,1,2,60,300,0.11,9.5,31.58,2850,0.1,158,0,6,0,0,16,16,41,19,3,FALSE,no,no,no,no
21,2,1,2,105,525,0.04,23,22.83,12075,0.18,671,6,6,3,0,16,16,59,46,3,FALSE,no,no,no,no
6,1,1,1,13,43.2,0.27,3.75,11.52,162,0.01,9,0,0,1,0,6,4,8,5,1,FALSE,no,no,no,no
16,3,3,2,40,185.8,0.13,7.64,24.32,1418,0.06,79,0,5,0,0,14,11,28,12,5,FALSE,no,no,no,no
55,9,1,3,292,1738.6,0.03,33.32,52.18,57932,0.58,3218,12,20,10,0,23,39,179,113,17,FALSE,no,no,no,yes
6,1,1,1,5,11.6,0.67,1.5,7.74,17,0,1,0,0,0,0,3,2,3,2,1,FALSE,no,no,no,no
9,1,1,1,18,62.3,0.44,2.29,27.24,142,0.02,8,0,0,1,0,4,7,10,8,1,FALSE,no,no,no,no
12,1,1,1,29,110.4,0.3,3.33,33.12,368,0.04,20,0,0,0,0,5,9,17,12,1,FALSE,no,no,no,no
12,1,1,1,25,92.5,0.38,2.67,34.69,247,0.03,14,0,0,0,0,4,9,13,12,1,FALSE,no,no,no,no
69,19,19,13,418,2746.2,0.03,36.57,75.09,100429,0.92,5579,0,18,24,0,31,64,267,151,37,FALSE,yes,yes,yes,yes
138,25,1,24,625,4677.4,0.04,27.21,171.89,127276,1.56,7071,1,58,6,0,32,147,375,250,47,FALSE,yes,no,yes,yes
6,1,1,1,6,15.5,0.5,2,7.75,31,0.01,2,0,0,0,0,4,2,4,2,1,FALSE,no,no,no,no
6,1,1,1,6,15.5,0.5,2,7.75,31,0.01,2,0,0,0,0,4,2,4,2,1,FALSE,no,no,no,no
72,16,9,7,255,1573.3,0.05,18.26,86.16,28729,0.52,1596,1,19,6,0,22,50,172,83,31,FALSE,yes,no,no,yes
6,1,1,1,4,8,0.67,1.5,5.33,12,0,1,0,0,0,0,3,1,3,1,1,FALSE,no,no,no,no
6,1,1,1,5,11.6,0.5,2,5.8,23,0,1,0,0,0,0,4,1,4,1,1,FALSE,no,no,no,no
6,1,1,1,7,19.7,0.4,2.5,7.86,49,0.01,3,0,0,0,0,5,2,5,2,1,FALSE,no,no,no,no
6,1,1,1,9,27,0.4,2.5,10.8,68,0.01,4,0,4,0,0,5,3,6,3,1,FALSE,no,no,no,no
11,1,1,1,22,73.1,0.47,2.14,34.11,157,0.02,9,0,0,0,0,3,7,12,10,1,FALSE,no,no,no,no
23,4,1,4,75,396.4,0.09,11.57,34.26,4587,0.13,255,1,23,0,0,18,21,48,27,7,FALSE,no,no,no,no
17,1,1,1,49,221.7,0.26,3.88,57.09,861,0.07,48,0,9,1,0,6,17,27,22,1,FALSE,no,no,no,no
60,13,1,6,155,919.3,0.07,13.9,66.12,12780,0.31,710,4,15,0,0,20,41,98,57,19,FALSE,yes,no,no,yes
32,5,1,3,72,360,0.08,13.24,27.2,4765,0.12,265,1,0,1,0,15,17,42,30,9,FALSE,no,no,no,no
16,3,3,1,33,145,0.09,10.56,13.72,1531,0.05,85,1,0,4,0,13,8,20,13,5,FALSE,no,no,no,no
42,2,1,2,210,1316,0.07,13.88,94.81,18268,0.44,1015,0,6,1,0,18,59,119,91,3,FALSE,no,no,no,no
6,1,1,1,8,22.5,0.5,2,11.23,45,0.01,3,0,0,0,0,4,3,5,3,1,FALSE,no,no,no,no
14,2,1,1,67,328.8,0.09,11.47,28.66,3771,0.11,210,6,13,1,0,13,17,37,30,3,FALSE,no,no,no,no
27,3,1,1,87,456.6,0.12,8.31,54.96,3793,0.15,211,0,9,0,0,12,26,51,36,5,FALSE,no,no,no,no
8,1,1,1,24,88.8,0.14,7.2,12.33,639,0.03,36,0,0,0,0,8,5,15,9,1,FALSE,no,no,no,no
7,1,1,1,13,39,0.33,3,13,117,0.01,7,0,0,0,0,4,4,7,6,1,FALSE,no,no,no,no
31,5,1,1,67,284.6,0.05,19.94,14.28,5674,0.09,315,1,4,1,0,11,8,38,29,9,FALSE,no,no,no,no
8,1,1,1,12,39.9,0.21,4.67,8.54,186,0.01,10,0,3,0,0,7,3,8,4,1,FALSE,no,no,no,no
11,1,1,1,29,116,0.09,10.83,10.71,1257,0.04,70,0,3,0,0,10,6,16,13,1,FALSE,no,no,no,no
6,1,1,1,4,8,0.67,1.5,5.33,12,0,1,0,0,0,0,3,1,3,1,1,FALSE,no,no,no,no
13,2,1,1,20,74,0.29,3.5,21.15,259,0.02,14,0,0,0,0,7,6,14,6,3,FALSE,no,no,no,no
6,1,1,1,10,31.7,0.33,3,10.57,95,0.01,5,0,3,0,0,6,3,7,3,1,FALSE,no,no,no,no
22,2,1,2,81,422,0.09,11.48,36.77,4842,0.14,269,0,12,1,0,17,20,54,27,3,FALSE,no,no,no,no
29,7,5,2,100,508.8,0.04,25.33,20.08,12888,0.17,716,0,9,5,0,19,15,60,40,13,FALSE,no,no,no,no
9,1,1,1,81,366.4,0.05,20.22,18.12,7410,0.12,412,0,2,3,0,14,9,55,26,1,FALSE,no,no,no,no
16,4,4,1,135,675,0.04,24.37,27.7,16448,0.23,914,0,3,4,0,17,15,92,43,7,FALSE,no,no,no,no
92,15,15,15,466,2643.4,0.02,57,46.37,150671,0.88,8371,27,41,67,0,19,32,274,192,29,FALSE,yes,yes,yes,yes
18,4,4,1,76,369.2,0.07,15.38,24,5680,0.12,316,7,11,9,0,16,13,51,25,7,FALSE,no,no,no,no
36,6,1,6,182,1005.3,0.05,21.46,46.84,21576,0.34,1199,9,22,15,0,19,27,121,61,11,FALSE,no,no,no,no
5,1,1,1,9,28.5,0.33,3,9.51,86,0.01,5,1,1,0,0,6,3,6,3,1,FALSE,no,no,no,no
22,3,1,3,69,341.8,0.07,14.06,24.31,4807,0.11,267,4,0,6,0,15,16,39,30,5,FALSE,no,no,no,no
3,1,1,1,7,18.1,0.4,2.5,7.24,45,0.01,3,0,0,0,0,5,1,6,1,1,FALSE,no,no,no,no
7,2,1,1,27,105.5,0.08,12,8.79,1266,0.04,70,0,0,1,0,10,5,15,12,3,FALSE,no,no,no,no
3,1,1,1,14,48.4,0.23,4.38,11.07,212,0.02,12,0,0,0,0,7,4,9,5,1,FALSE,no,no,no,no
7,1,1,1,29,110.4,0.21,4.88,22.65,538,0.04,30,0,0,0,0,6,8,16,13,1,FALSE,no,no,no,no
9,3,1,1,41,171,0.07,14.14,12.09,2418,0.06,134,0,0,1,0,11,7,23,18,5,FALSE,no,no,no,no
11,3,1,1,49,215.2,0.07,14.67,14.67,3157,0.07,175,0,0,1,0,12,9,27,22,5,FALSE,no,no,no,no
4,1,1,1,13,39,0.33,3,13,117,0.01,7,0,0,0,0,4,4,7,6,1,FALSE,no,no,no,no
3,1,1,1,7,19.7,0.4,2.5,7.86,49,0.01,3,0,0,0,0,5,2,5,2,1,FALSE,no,no,no,no
30,4,1,2,193,1149.2,0.04,25.34,45.35,29117,0.38,1618,10,22,21,0,25,37,118,75,7,FALSE,no,no,no,no
5,1,1,1,5,11.6,0.67,1.5,7.74,17,0,1,1,1,2,0,3,2,3,2,1,FALSE,no,no,no,no
16,4,1,2,109,591.5,0.04,25.89,22.84,15316,0.2,851,6,10,9,0,24,19,68,41,7,FALSE,no,no,no,no
5,1,1,1,5,11.6,0.67,1.5,7.74,17,0,1,1,1,2,0,3,2,3,2,1,FALSE,no,no,no,no
15,4,1,2,109,591.5,0.04,25.89,22.84,15316,0.2,851,7,10,10,0,24,19,68,41,7,FALSE,no,no,no,no
40,10,1,8,399,2609.1,0.03,31.3,83.37,81654,0.87,4536,35,31,46,0,27,66,246,153,19,FALSE,no,no,no,no
5,1,1,1,5,11.6,0.67,1.5,7.74,17,0,1,1,1,2,0,3,2,3,2,1,FALSE,no,no,no,no
5,1,1,1,5,11.6,0.67,1.5,7.74,17,0,1,1,1,2,0,3,2,3,2,1,FALSE,no,no,no,no
