PID,Size,Weight
278609,Medium,4.06
817690,Small,4.13
866392,Medium,3.7
497933,Large,2.42
358006,Medium,1.17
493874,Small,3.69
540851,Large,3.5
684622,Medium,4.53
707298,Small,3
226283,Medium,1.34
934631,Medium,3.57
436075,Large,4.77
314232,Large,1.66
441637,Small,4.54
262257,Medium,1.88
596874,Large,4.66
993681,Medium,3.08
985077,Large,3.28
622662,Small,2.84
630978,Medium,2.96
998969,Small,3.32
308851,Large,3.29
181917,Large,3.1
145339,Medium,4.02
607775,Small,2.05
118313,Medium,3.11
878198,Large,3.58
614449,Medium,2.2
504105,Large,4.05
422753,Small,3.8
236512,Large,3.61
529009,Small,3
347896,Small,3.28
838288,Large,3.62
119971,Large,2.31
633782,Medium,1.73
544784,Medium,2.95
304530,Large,4.75
529242,Medium,3.33
868212,Large,2.02
829713,Large,2.28
462820,Large,2.54
875006,Medium,3.64
194706,Small,3.85
731367,Medium,4.23
226421,Small,3.26
809291,Medium,1.84
997272,Large,1.28
656967,Small,4.62
869166,Medium,2.82
826410,Large,1.23
725679,Large,3.87
185449,Small,2.21
293627,Small,2.47
705237,Medium,3.36
384398,Large,4.29
575180,Large,2.06
419651,Small,4.86
767523,Medium,2.11
470562,Medium,1.59
760331,Medium,3.39
848010,Small,1.09
552965,Large,3.21
242089,Medium,1.08
699540,Large,3.67
148106,Small,2.2
949737,Large,3.99
839395,Small,3.9
798909,Medium,2.53
510265,Medium,2.61
921699,Medium,1.52
380609,Small,4.62
569053,Medium,2.34
229631,Large,3.67
399684,Large,1.13
796110,Medium,3.3
780641,Medium,4.75
753832,Large,1.73
306818,Medium,4.64
530400,Small,2.87
623683,Small,2.33
852675,Medium,2.76
791391,Small,3.12
765966,Medium,4.86
853922,Medium,4.72
593003,Large,3.92
901653,Large,3.57
379686,Large,1.58
315454,Large,3.95
368381,Medium,4.17
812602,Large,1.22
494259,Small,3.91
660002,Medium,4.75
235255,Small,3.92
759998,Small,1.54
493804,Medium,2.14
858704,Medium,3.79
742126,Large,2.01
711241,Large,2.03
972285,Large,1.38
186901,Large,3.06
461046,Large,1.33
542250,Small,3.85
438351,Large,2.15
416512,Medium,1.36
461835,Small,1.67
447784,Large,4.31
164594,Large,3.5
881190,Small,1.19
420102,Medium,1.73
342592,Medium,3.79
433109,Large,4.38
272114,Small,2.47
161484,Medium,3.91
372635,Large,4.09
549768,Medium,4.84
357699,Small,2.04
915570,Small,4.23
130862,Large,1.06
753615,Large,3.84
