Account No,Date,cost
1111267,2011-01-14,52.18
1111268,2013-04-22,88.6
1111269,2015-06-13,80.83
1111270,2016-10-13,91.12
1111271,2016-07-29,79.5
1111272,2013-10-13,50.68
1111273,2014-03-09,69.13
1111274,2013-09-20,76.01
1111275,2016-04-29,98.18
1111276,2013-07-24,86.74
1111277,2016-04-25,88.73
1111278,2016-09-21,89.28
1111279,2012-05-14,98.86
1111280,2016-07-22,86.25
1111281,2011-12-08,83.28
1111282,2016-05-25,60.69
1111283,2013-05-25,88.9
1111284,2013-07-03,76.14
1111285,2013-09-12,76.65
1111286,2013-10-25,69.53
1111287,2013-06-02,52.06
1111288,2010-12-25,61.34
1111289,2013-06-14,75.81
1111290,2011-04-10,58.1
1111291,2015-02-28,97.52
1111292,2016-04-18,64.54
1111293,2016-01-01,62.45
1111294,2015-09-20,69.04
1111295,2011-05-16,88.79
1111296,2010-12-30,78.57
1111297,2014-05-15,95.52
1111298,2015-10-11,78.19
1111299,2014-03-03,62.09
1111300,2011-05-03,99.12
1111301,2012-02-14,52.86
1111302,2014-07-03,85.37
1111303,2016-07-27,56.89
1111304,2013-07-01,87.97
1111305,2012-06-07,73.43
1111306,2011-03-20,96.92
1111307,2014-09-20,54.66
1111308,2011-03-24,81.88
1111309,2016-01-26,93.68
1111310,2013-04-10,69.0
1111311,2013-04-24,57.1
1111312,2016-10-31,55.61
1111313,2011-10-20,68.58
1111314,2013-08-30,68.85
1111315,2013-12-04,90.63
1111316,2012-05-27,74.16
1111317,2016-04-14,53.13
1111318,2012-04-14,53.67
1111319,2010-12-19,65.97
1111320,2012-05-19,87.93
1111321,2015-10-18,92.78
1111322,2015-08-09,68.92
1111323,2012-09-23,95.34
1111324,2016-07-20,99.62
1111325,2013-08-25,95.85
1111326,2010-12-20,98.1
1111327,2014-05-17,83.61
1111328,2012-02-13,78.16
1111329,2014-05-13,81.91
1111330,2015-08-13,66.36
1111331,2015-12-12,61.57
1111332,2015-03-02,75.69
1111333,2012-11-13,63.76
1111334,2013-01-12,97.31
1111335,2016-01-20,64.2
1111336,2014-01-30,80.44
1111337,2016-09-17,58.77
1111338,2015-06-19,95.05
1111339,2013-04-05,78.17
1111340,2013-10-22,65.45
1111341,2011-12-13,54.82
1111342,2016-10-31,64.11
1111343,2016-09-29,87.64
1111344,2011-04-16,90.44
1111345,2014-12-07,61.66
1111346,2012-04-08,72.08
1111347,2011-01-21,63.51
1111348,2013-06-05,91.96
1111349,2016-11-15,83.11
1111350,2015-04-14,61.42
1111351,2011-08-19,59.99
1111352,2016-05-24,77.07
1111353,2011-12-19,89.42
1111354,2013-01-22,51.9
1111355,2012-04-22,67.34
1111356,2015-09-05,55.48
1111357,2016-02-08,60.45
1111358,2012-04-25,62.28
1111359,2014-10-16,96.47
1111360,2011-01-22,74.63
1111361,2012-01-20,95.43
1111362,2013-07-29,95.25
1111363,2013-09-30,68.64
1111364,2016-05-28,86.7
1111365,2012-09-18,92.91
1111366,2011-10-28,57.22
1111367,2011-10-04,67.31
1111368,2013-06-16,72.93
1111369,2014-05-12,84.93
1111370,2015-12-02,82.29
1111371,2011-06-28,62.6
1111372,2016-03-27,72.63
1111373,2016-10-10,64.94
1111374,2014-01-02,68.61
1111375,2015-02-01,85.15
1111376,2016-02-25,60.98
1111377,2014-05-30,57.63
1111378,2012-09-03,75.52
1111379,2016-11-10,78.59
1111380,2014-02-05,68.42
1111381,2013-06-22,93.68
1111382,2015-05-02,93.94
1111383,2014-04-25,95.0
1111384,2016-08-07,65.64
1111385,2013-05-31,81.23
1111386,2012-12-17,78.43
1111387,2016-01-10,82.88
1111388,2012-11-02,76.95
1111389,2011-11-19,95.33
1111390,2014-06-20,84.15
1111391,2012-01-31,89.42
1111392,2011-07-28,66.54
1111393,2016-08-12,70.09
1111394,2013-02-26,75.58
1111395,2016-10-04,56.64
1111396,2015-02-18,77.06
1111397,2016-03-13,75.13
1111398,2012-04-17,73.58
1111399,2011-11-15,96.83
1111400,2013-12-31,53.35
1111401,2014-11-06,85.01
1111402,2011-02-26,74.95
1111403,2015-10-19,92.7
1111404,2012-06-13,90.31
1111405,2014-10-17,67.43
1111406,2015-05-03,83.53
1111407,2011-01-24,89.29
1111408,2015-01-23,71.0
1111409,2014-06-13,74.61
1111410,2013-11-29,56.07
1111411,2013-10-29,70.82
1111412,2015-05-02,81.65
1111413,2016-10-22,92.9
1111414,2016-03-22,60.44
1111415,2013-04-29,83.13
1111416,2012-03-10,55.36
1111417,2014-11-14,83.14
1111418,2012-12-07,72.23
1111419,2015-06-28,98.96
1111420,2011-05-13,66.45
1111421,2011-11-04,69.51
1111422,2012-12-09,77.56
1111423,2012-10-08,51.26
1111424,2012-03-12,79.77
1111425,2013-08-03,70.72
1111426,2013-09-17,71.01
1111427,2011-05-26,98.79
1111428,2016-06-28,61.5
1111429,2014-03-19,91.66
1111430,2014-08-16,67.67
1111431,2012-07-24,65.28
1111432,2015-03-12,64.9
1111433,2015-11-04,50.57
1111434,2012-09-23,84.4
1111435,2012-07-29,61.49
1111436,2013-04-24,50.46
1111437,2011-08-26,56.15
1111438,2012-01-05,90.85
1111439,2014-06-07,77.74
1111440,2012-08-19,53.35
1111441,2012-03-20,82.09
1111442,2012-12-16,61.3
1111443,2014-09-07,58.88
1111444,2014-11-28,73.0
1111445,2015-11-09,61.8
1111446,2012-03-09,57.99
1111447,2013-11-03,87.62
1111448,2014-06-24,63.08
1111449,2012-02-12,75.65
1111450,2013-09-20,70.31
1111451,2013-10-31,51.17
1111452,2014-05-26,90.02
1111453,2012-02-15,96.62
1111454,2011-05-09,99.97
1111455,2013-07-23,65.64
1111456,2015-08-02,76.27
1111457,2013-06-21,75.15
1111458,2015-06-27,82.66
1111459,2014-07-29,65.23
1111460,2013-05-01,80.16
1111461,2013-06-08,52.03
1111462,2013-03-20,69.14
1111463,2011-10-14,58.91
1111464,2012-05-10,52.09
1111465,2012-04-14,60.51
1111466,2013-04-11,95.88
1111467,2014-02-11,86.7
1111468,2010-12-11,68.54
1111469,2011-05-25,57.64
1111470,2011-11-14,57.26
1111471,2013-09-15,79.38
1111472,2012-09-17,55.73
1111473,2012-08-24,80.34
1111474,2015-12-06,69.69
1111475,2013-08-05,63.2
1111476,2015-03-16,51.27
1111477,2011-06-29,68.6
1111478,2014-06-11,79.09
1111479,2016-08-06,51.49
1111480,2011-05-22,62.14
1111481,2016-07-03,83.03
1111482,2012-05-29,62.63
1111483,2013-01-02,59.36
1111484,2016-05-09,88.29
1111485,2011-07-04,93.56
1111486,2014-05-23,73.95
1111487,2016-05-25,67.52
1111488,2014-08-24,59.54
1111489,2013-10-01,66.18
1111490,2012-10-09,98.92
1111491,2013-10-05,83.11
1111492,2013-05-17,92.8
1111493,2014-05-09,54.08
1111494,2011-08-27,91.09
1111495,2012-03-07,52.45
1111496,2014-07-17,88.01
1111497,2015-11-04,65.14
1111498,2016-02-29,81.12
1111499,2011-10-28,55.08
1111500,2016-11-11,60.22
1111501,2014-06-16,77.09
1111502,2013-03-17,51.81
1111503,2013-08-14,95.72
1111504,2015-01-07,53.14
1111505,2015-01-30,55.05
1111506,2013-09-24,78.59
1111507,2013-11-16,61.42
1111508,2014-04-17,58.08
1111509,2014-06-22,87.88
1111510,2015-07-18,78.18
1111511,2012-10-08,95.81
1111512,2014-02-02,66.32
1111513,2011-10-13,95.38
1111514,2014-12-28,86.06
1111515,2011-09-28,84.83
1111516,2014-02-01,87.81
1111517,2014-07-01,80.21
1111518,2015-01-16,71.28
1111519,2016-09-20,71.92
1111520,2014-04-30,79.16
1111521,2011-03-22,87.1
1111522,2015-10-02,85.68
1111523,2015-06-26,88.19
1111524,2011-07-03,55.27
1111525,2015-06-30,61.74
1111526,2012-06-18,61.46
1111527,2016-10-21,91.52
1111528,2013-09-07,93.88
1111529,2011-05-29,97.0
1111530,2014-06-21,95.74
1111531,2014-09-09,75.02
1111532,2011-08-10,63.37
1111533,2014-08-25,67.81
1111534,2016-07-31,54.67
1111535,2013-07-23,64.68
1111536,2012-02-21,63.69
1111537,2013-05-09,88.27
1111538,2012-11-26,71.07
1111539,2016-02-09,88.09
1111540,2013-01-19,83.21
1111541,2016-08-11,89.42
1111542,2011-10-18,95.69
1111543,2015-05-09,74.93
1111544,2016-11-07,90.22
1111545,2012-07-16,66.09
1111546,2011-02-26,97.89
1111547,2012-04-27,68.74
1111548,2011-06-13,89.98
1111549,2016-01-03,96.76
1111550,2011-03-07,54.68
1111551,2016-06-06,99.48
1111552,2013-08-29,79.49
1111553,2016-03-30,50.22
1111554,2010-11-24,86.79
1111555,2013-05-31,70.88
1111556,2014-02-02,77.84
1111557,2013-10-10,54.33
1111558,2011-06-11,64.81
1111559,2013-04-08,92.64
1111560,2016-01-11,97.4
1111561,2011-02-27,96.3
1111562,2015-03-26,80.12
1111563,2012-01-24,54.23
1111564,2011-10-03,53.19
1111565,2012-09-06,95.37
1111566,2013-01-15,95.92
1111567,2012-06-03,96.67
1111568,2012-06-20,90.67
1111569,2012-02-20,58.67
1111570,2014-01-25,66.57
1111571,2012-05-21,78.21
1111572,2013-04-08,66.15
1111573,2011-07-17,78.7
1111574,2011-07-19,96.03
1111575,2014-09-09,58.69
1111576,2011-09-12,84.02
1111577,2016-05-12,89.63
1111578,2013-12-03,94.39
1111579,2014-08-03,70.14
1111580,2016-11-15,94.45
1111581,2014-11-13,93.07
1111582,2013-11-07,65.52
1111583,2014-09-08,95.38
1111584,2015-03-25,51.5
1111585,2015-05-27,52.78
1111586,2015-09-08,55.96
1111587,2013-06-02,78.32
1111588,2016-04-28,58.98
1111589,2010-12-02,98.32
1111590,2016-04-07,92.5
1111591,2016-03-31,67.44
1111592,2012-03-27,57.31
1111593,2016-09-16,59.01
1111594,2011-03-18,68.51
1111595,2012-01-18,79.18
1111596,2011-05-25,56.84
1111597,2013-02-22,90.5
1111598,2016-06-08,79.17
1111599,2016-10-25,82.24
1111600,2013-06-16,57.74
1111601,2012-02-11,75.66
1111602,2010-12-31,65.64
1111603,2012-09-05,50.79
1111604,2012-05-23,80.65
1111605,2015-10-09,66.19
1111606,2013-03-05,93.16
1111607,2012-06-13,54.15
1111608,2015-01-10,75.11
1111609,2013-06-04,68.69
1111610,2011-02-17,76.49
1111611,2015-10-02,55.09
1111612,2013-05-12,99.7
1111613,2012-06-30,65.12
1111614,2016-08-18,92.57
1111615,2012-11-05,63.89
1111616,2015-12-01,64.0
1111617,2016-02-28,99.27
1111618,2012-03-14,73.41
1111619,2014-01-08,75.78
1111620,2012-03-22,86.72
1111621,2016-10-02,89.39
1111622,2014-11-04,95.46
1111623,2013-10-30,98.45
1111624,2013-07-20,97.56
1111625,2016-08-20,64.4
1111626,2014-09-28,69.06
1111627,2014-03-25,71.99
1111628,2016-06-29,66.97
1111629,2016-07-16,94.74
1111630,2011-06-24,58.43
1111631,2013-09-29,68.39
1111632,2015-10-21,96.11
1111633,2011-12-23,57.63
1111634,2015-03-26,71.86
1111635,2014-09-16,62.8
1111636,2012-11-02,94.45
1111637,2016-09-16,54.79
1111638,2011-07-08,97.44
1111639,2012-09-15,99.7
1111640,2012-06-29,90.81
1111641,2015-02-10,83.03
1111642,2011-12-12,86.89
1111643,2011-12-24,78.62
1111644,2012-03-24,85.38
1111645,2016-06-02,55.49
1111646,2016-01-26,53.96
1111647,2011-09-28,70.63
1111648,2015-01-01,57.69
1111649,2012-06-03,63.32
1111650,2015-04-29,98.93
1111651,2012-02-03,79.23
1111652,2011-10-11,76.81
1111653,2013-07-20,71.89
1111654,2013-12-24,75.53
1111655,2012-10-25,77.46
1111656,2016-08-30,74.94
1111657,2011-04-18,98.92
1111658,2015-10-18,63.41
1111659,2016-07-21,72.09
1111660,2011-01-24,91.64
1111661,2016-08-14,80.45
1111662,2012-05-16,66.97
1111663,2015-10-16,98.6
1111664,2014-04-15,63.96
1111665,2012-07-21,66.83
1111666,2011-06-26,61.41
1111667,2013-02-27,84.51
1111668,2014-01-31,52.64
1111669,2010-12-23,63.29
1111670,2016-05-01,93.89
1111671,2011-01-02,69.02
1111672,2011-02-04,61.17
1111673,2016-08-27,73.68
1111674,2011-07-14,55.81
1111675,2012-04-15,81.98
1111676,2014-05-08,76.32
1111677,2013-03-01,99.94
1111678,2016-07-20,63.38
1111679,2012-03-23,94.25
1111680,2011-10-15,61.53
1111681,2012-06-17,77.04
1111682,2013-05-09,73.12
1111683,2015-11-29,67.43
1111684,2011-04-08,79.95
1111685,2011-02-19,77.06
1111686,2010-12-24,75.14
1111687,2016-03-15,85.38
1111688,2015-07-27,53.15
1111689,2014-03-17,52.05
1111690,2016-05-29,91.42
1111691,2011-06-10,69.93
1111692,2013-06-19,87.04
1111693,2010-12-31,95.54
1111694,2015-06-04,97.26
1111695,2016-03-29,97.53
1111696,2016-01-20,60.5
1111697,2016-10-28,79.92
1111698,2016-07-02,81.62
1111699,2011-09-21,67.04
1111700,2016-05-29,79.95
1111701,2012-04-01,89.22
1111702,2014-08-04,87.05
1111703,2015-03-19,78.74
1111704,2010-12-10,96.25
1111705,2013-01-29,81.81
1111706,2015-09-08,77.88
1111707,2012-02-23,55.94
1111708,2015-11-07,98.08
1111709,2015-03-21,63.35
1111710,2015-08-21,61.75
1111711,2015-04-22,97.76
1111712,2016-01-24,96.59
1111713,2011-12-30,83.85
1111714,2016-01-15,92.42
1111715,2014-12-19,69.53
1111716,2016-06-30,75.69
1111717,2014-09-30,97.72
1111718,2015-01-02,53.63
1111719,2016-04-09,79.66
1111720,2013-03-23,51.18
1111721,2011-08-13,84.83
1111722,2011-02-04,75.22
1111723,2015-04-08,79.22
1111724,2013-02-20,95.09
1111725,2015-02-20,95.29
1111726,2015-12-14,91.97
1111727,2014-11-22,91.3
1111728,2012-06-05,92.18
1111729,2011-07-22,81.34
1111730,2010-12-08,90.71
1111731,2013-11-18,97.25
1111732,2015-12-23,95.72
1111733,2013-12-27,72.84
1111734,2011-10-11,78.48
1111735,2016-10-29,84.95
1111736,2013-02-01,99.6
1111737,2014-08-13,78.86
1111738,2010-11-26,76.69
1111739,2014-01-26,50.65
1111740,2015-01-15,52.35
1111741,2015-08-16,78.52
1111742,2012-12-20,75.91
1111743,2013-05-03,93.0
1111744,2010-12-01,68.37
1111745,2012-10-26,77.53
1111746,2016-01-27,91.46
1111747,2014-03-08,62.45
1111748,2016-10-09,92.91
1111749,2014-08-18,60.37
1111750,2012-09-03,92.15
1111751,2013-04-15,56.66
1111752,2012-08-22,57.64
1111753,2012-03-06,52.3
1111754,2015-04-23,73.19
1111755,2013-12-22,80.32
1111756,2015-01-25,93.92
1111757,2016-04-16,71.33
1111758,2016-06-02,61.55
1111759,2011-07-15,93.32
1111760,2016-01-30,76.7
1111761,2012-05-15,90.19
1111762,2014-12-21,59.06
1111763,2015-08-08,81.88
1111764,2014-10-16,55.93
1111765,2016-03-01,63.96
1111766,2011-10-18,82.65
1111767,2016-09-21,86.57
1111768,2011-08-24,58.08
1111769,2012-04-16,54.3
1111770,2015-06-01,67.19
1111771,2011-02-05,96.11
1111772,2011-12-31,73.05
1111773,2015-10-22,97.34
1111774,2011-01-31,84.72
1111775,2013-02-04,58.98
1111776,2012-01-26,80.18
1111777,2016-05-16,51.29
1111778,2011-04-13,56.16
1111779,2016-07-21,71.83
1111780,2015-12-22,61.91
1111781,2011-04-30,77.81
1111782,2012-02-21,88.46
1111783,2011-09-22,78.27
1111784,2015-10-01,82.08
1111785,2015-08-25,79.44
1111786,2014-11-12,72.14
1111787,2012-12-11,52.29
1111788,2011-07-18,58.92
1111789,2013-12-17,73.71
1111790,2011-10-08,60.94
1111791,2015-04-30,65.94
1111792,2013-11-09,63.31
1111793,2011-11-17,69.26
1111794,2012-10-22,94.68
1111795,2016-05-30,94.09
1111796,2015-09-06,81.96
1111797,2012-07-26,88.23
1111798,2012-11-14,66.23
1111799,2016-08-06,92.56
1111800,2012-04-29,57.47
1111801,2016-01-12,69.29
1111802,2011-10-25,98.14
1111803,2015-11-28,98.28
1111804,2012-02-01,52.81
1111805,2012-06-16,60.42
1111806,2012-08-15,80.28
1111807,2014-05-27,57.33
1111808,2013-06-26,66.48
1111809,2013-07-02,85.21
1111810,2011-09-29,90.15
1111811,2016-06-09,99.94
1111812,2011-12-26,60.0
1111813,2013-12-06,69.87
1111814,2015-08-07,58.39
1111815,2016-02-23,97.56
1111816,2016-07-29,61.59
1111817,2015-05-01,97.38
1111818,2011-12-24,54.46
1111819,2015-02-14,73.78
1111820,2014-04-29,78.05
1111821,2010-12-24,64.94
1111822,2013-08-08,76.78
1111823,2010-11-19,78.76
1111824,2013-06-13,75.63
1111825,2014-10-26,80.13
1111826,2015-08-01,63.06
1111827,2016-09-15,99.81
1111828,2015-02-25,67.09
1111829,2011-01-18,86.95
1111830,2013-07-25,95.5
1111831,2013-01-27,68.66
1111832,2011-06-01,93.69
1111833,2016-10-06,75.44
1111834,2015-11-09,74.56
1111835,2012-01-08,84.56
1111836,2015-04-11,85.82
1111837,2015-12-30,83.67
1111838,2013-02-22,83.89
1111839,2014-10-26,64.84
1111840,2011-04-20,54.82
1111841,2013-11-08,66.37
1111842,2011-09-28,68.43
1111843,2011-12-18,72.7
1111844,2012-09-28,70.03
1111845,2015-04-28,71.74
1111846,2014-06-20,65.74
1111847,2012-04-22,70.98
1111848,2012-10-23,50.19
1111849,2014-10-06,54.98
1111850,2016-03-03,90.78
1111851,2013-06-05,56.72
1111852,2012-02-26,85.63
1111853,2015-11-24,95.9
1111854,2015-10-03,91.81
1111855,2014-05-07,51.3
1111856,2013-09-18,55.73
1111857,2014-12-15,79.61
1111858,2015-05-15,57.32
1111859,2012-01-30,67.03
1111860,2015-10-26,69.03
1111861,2015-08-19,52.79
1111862,2015-01-25,89.37
1111863,2015-01-08,58.01
1111864,2012-07-19,76.92
1111865,2015-11-14,81.14
1111866,2013-10-13,69.88
1111867,2013-09-29,95.91
1111868,2013-01-08,53.56
1111869,2016-06-06,57.93
1111870,2013-09-04,91.85
1111871,2011-08-17,71.46
1111872,2013-12-30,74.6
1111873,2015-08-20,69.0
1111874,2013-11-01,74.71
1111875,2011-08-17,93.94
1111876,2013-09-06,69.7
1111877,2010-11-24,66.08
1111878,2011-06-23,77.21
1111879,2014-04-16,80.88
1111880,2016-06-17,69.34
1111881,2011-06-21,50.69
1111882,2012-03-16,84.94
1111883,2014-12-09,59.52
1111884,2013-02-24,91.35
1111885,2014-04-26,75.0
1111886,2011-02-22,63.54
1111887,2016-01-09,84.16
1111888,2012-12-14,78.8
1111889,2013-10-30,99.14
1111890,2012-02-24,54.51
1111891,2014-01-14,68.66
1111892,2016-01-25,78.34
1111893,2014-11-14,97.27
1111894,2015-12-03,75.48
1111895,2015-07-02,58.02
1111896,2015-09-01,52.12
1111897,2012-04-05,88.08
1111898,2011-05-11,53.87
1111899,2013-04-14,90.59
1111900,2013-11-18,83.45
1111901,2011-07-27,91.35
1111902,2015-09-15,61.86
1111903,2011-11-10,59.05
1111904,2015-07-09,68.28
1111905,2014-07-08,83.34
1111906,2011-06-01,60.57
1111907,2013-06-25,53.29
1111908,2014-09-02,59.74
1111909,2013-09-01,58.15
1111910,2015-07-01,91.84
1111911,2016-09-12,86.16
1111912,2014-11-11,66.16
1111913,2013-12-27,96.62
1111914,2011-11-02,96.47
1111915,2012-07-27,72.9
1111916,2014-04-17,83.07
1111917,2015-11-14,85.13
1111918,2016-03-06,75.76
1111919,2016-01-27,85.94
1111920,2015-08-04,90.68
1111921,2012-09-28,97.74
1111922,2015-09-30,71.83
1111923,2014-08-24,73.51
1111924,2012-03-16,71.49
1111925,2015-08-10,62.58
1111926,2015-11-20,76.8
1111927,2011-09-19,58.07
1111928,2015-09-29,90.44
1111929,2013-09-27,76.67
1111930,2012-08-27,85.3
1111931,2016-03-02,73.33
1111932,2015-06-11,66.72
1111933,2015-12-17,71.16
1111934,2010-12-06,66.28
1111935,2012-01-30,98.98
1111936,2014-07-03,61.49
1111937,2015-01-09,94.69
1111938,2015-06-10,94.28
1111939,2011-04-27,73.61
1111940,2011-08-18,56.97
1111941,2012-10-08,93.89
1111942,2013-02-05,74.38
1111943,2016-10-13,64.04
1111944,2016-06-25,68.72
1111945,2013-11-04,87.71
1111946,2016-02-14,52.31
1111947,2013-01-16,85.13
1111948,2012-12-20,68.33
1111949,2016-09-05,95.02
1111950,2014-03-21,91.0
1111951,2013-09-12,97.4
1111952,2011-12-21,93.34
1111953,2012-01-14,61.44
1111954,2011-09-18,85.51
1111955,2016-01-04,70.98
1111956,2012-01-23,73.29
1111957,2012-04-15,69.83
1111958,2011-04-30,91.69
1111959,2011-11-10,60.63
1111960,2014-02-08,80.39
1111961,2013-04-08,71.42
1111962,2015-12-24,82.46
1111963,2014-01-23,65.08
1111964,2016-05-18,63.26
1111965,2012-09-21,86.48
1111966,2014-06-15,53.1
1111967,2014-12-09,84.03
1111968,2015-10-01,69.5
1111969,2013-05-23,52.91
1111970,2015-09-20,51.95
1111971,2011-12-13,74.69
1111972,2016-10-28,97.87
1111973,2011-08-02,50.42
1111974,2016-06-04,97.33
1111975,2011-02-11,86.3
1111976,2013-07-08,96.86
1111977,2012-05-02,92.16
1111978,2016-09-28,67.62
1111979,2016-10-08,88.31
1111980,2012-12-26,55.24
1111981,2015-02-08,56.71
1111982,2015-10-14,63.34
1111983,2011-03-18,82.38
1111984,2016-09-26,98.85
1111985,2012-08-03,75.12
1111986,2013-07-22,55.68
1111987,2010-12-04,91.5
1111988,2011-11-21,74.47
1111989,2014-06-13,67.04
1111990,2014-06-07,97.35
1111991,2014-03-21,54.98
1111992,2016-09-17,82.16
1111993,2012-11-29,83.53
1111994,2014-07-17,67.65
1111995,2014-01-25,56.85
1111996,2016-03-03,96.84
1111997,2014-05-12,89.2
1111998,2014-03-14,91.45
1111999,2015-08-23,94.74
1112000,2011-07-03,92.22
1112001,2013-07-08,75.0
1112002,2015-04-05,52.42
1112003,2014-05-01,59.14
1112004,2012-08-01,64.94
1112005,2013-08-31,94.73
1112006,2012-07-06,94.93
1112007,2012-12-21,97.43
1112008,2012-10-08,70.21
1112009,2013-10-29,68.5
1112010,2013-04-06,75.13
1112011,2013-02-23,53.56
1112012,2015-09-24,55.91
1112013,2015-09-29,53.15
1112014,2016-09-11,91.99
1112015,2016-09-02,75.99
1112016,2011-10-02,77.03
1112017,2014-06-29,93.25
1112018,2011-10-30,55.83
1112019,2013-12-19,74.98
1112020,2013-02-03,98.03
1112021,2016-11-14,58.86
1112022,2012-12-27,50.22
1112023,2014-07-01,70.37
1112024,2015-02-23,54.65
1112025,2012-11-03,79.04
1112026,2014-10-11,93.16
1112027,2016-04-28,95.93
1112028,2011-03-30,72.46
1112029,2014-07-05,87.43
1112030,2014-09-07,93.21
1112031,2014-06-08,99.22
1112032,2015-05-10,97.31
1112033,2011-01-07,96.87
1112034,2012-07-12,67.34
1112035,2012-09-22,82.41
1112036,2016-02-14,86.76
1112037,2014-11-28,70.03
1112038,2016-06-01,71.15
1112039,2014-07-06,75.12
1112040,2013-04-17,73.23
1112041,2015-12-03,65.17
1112042,2011-01-24,71.33
