ID;Category;Condition;Title;Availability;Color;Price;
med456co;Miscellaneous;refurbished;Table;out of stock;violet;49.99;
itm456rs;Home > Electronics;refurbished;Remote;in stock;violet;24.99;
itm999sm;Home > Appliances;used;Juice Mixer;pre-order;magenta;101.99;
itm789in;Media > DVDs & Movies;new;Science Fiction;pre-order;yellow;9.99;
xyz345ww;Apparel & Accessories > Shoes;used;Sneakers;in stock;green;79.99;
dvd111rs;Media > Music;refurbished;Hip Hop;pre-order;blue;35.99;
xyz678ch;Media > DVDs & Movies;new;Documentary;in stock;orange;102.25;
abc101rs;Apparel & Accessories > Clothing ;new;Dress;pre-order;violet;99.99;
mns999ww;Home > Appliances;new;Rice cooker;pre-order;blue;24.99;
dvd456uk;Home > Appliances;refurbished;Rice cooker;out of stock;yellow;69.99;
acc101bg;Apparel & Accessories > Clothing ;new;T-Shirt;in stock;orange;129.99;
kid345us;Media > Music;new;Pop;pre-order;blue;25.99;
mvs678sm;Media > Music;used;Rock;out of stock;magenta;149.99;
cdh888uk;Media > DVDs & Movies;new;Action;in stock;blue;79.99;
dvd345pt;Miscellaneous;new;Table;pre-order;red;69.99;
acc444ch;Apparel & Accessories > Clothing ;used;Dress;pre-order;blue;149.99;
med789rs;Apparel & Accessories > Clothing ;refurbished;T-Shirt;pre-order;red;24.99;
inr789sm;Media > Music;new;Pop;pre-order;green;101.99;
jpu444pt;Home > Appliances;used;Juice Mixer;out of stock;blue;9.99;
xyz567rs;Miscellaneous;used;Table;in stock;black;129.99;
misc666ww;Apparel & Accessories > Clothing ;refurbished;Shirt;in stock;black;24.99;
dvd678sm;Media > Music;refurbished;Hip Hop;in stock;green;39.99;
inr111ch;Apparel & Accessories > Clothing ;refurbished;T-Shirt;out of stock;yellow;102.25;
clo555bg;Home > Electronics;refurbished;TV;in stock;blue;9.99;
jpu889pt;Media > Music;new;Rock;pre-order;magenta;29.99;
inr333uk;Home > Electronics;used;HDMI;pre-order;blue;129.99;
kid888bg;Apparel & Accessories > Shoes;refurbished;Flats;out of stock;green;49.99;
mvs222bg;Media > DVDs & Movies;refurbished;Action;out of stock;blue;99.99;
kid789sm;Home > Electronics;refurbished;TV;out of stock;blue;102.25;
clo124co;Home > Electronics;refurbished;Remote;pre-order;red;102.25;
inr234rs;Apparel & Accessories > Clothing ;new;T-Shirt;pre-order;red;100.5;
jpu678us;Home > Appliances;new;Ice maker;in stock;black;35.99;
clo124ww;Home > Appliances;used;Coffee maker;in stock;magenta;29.99;
clo789pt;Media > DVDs & Movies;used;Science Fiction;pre-order;blue;99.99;
kid666in;Miscellaneous;refurbished;Chair;pre-order;blue;25.99;
inr124ww;Home > Electronics;refurbished;TV;out of stock;orange;105.99;
itm789pt;Media > Music;new;Jazz;in stock;red;100.5;
dvd234co;Media > DVDs & Movies;used;Science Fiction;in stock;black;69.99;
mns222us;Miscellaneous;new;Chair;out of stock;violet;39.99;
wmn789sm;Home > Appliances;refurbished;Juice Mixer;out of stock;black;35.99;
cdh789uk;Media > DVDs & Movies;used;Animation;out of stock;yellow;69.99;
mgz555co;Media > DVDs & Movies;used;Action;out of stock;red;149.99;
bks666in;Apparel & Accessories > Clothing ;new;Jeans;pre-order;violet;39.99;
mns444uk;Media > DVDs & Movies;refurbished;Animation;out of stock;white;101.99;
cdh678bg;Home > Electronics;new;Microwave;in stock;blue;39.99;
mns222ww;Media > DVDs & Movies;used;Action;pre-order;blue;19.99;
clo999in;Miscellaneous;new;Tablet;in stock;blue;89.99;
elc889ww;Apparel & Accessories > Shoes;used;Sandals;in stock;yellow;105.99;
misc888uk;Media > Music;refurbished;Rock;in stock;blue;49.99;
mvs567ww;Media > DVDs & Movies;new;Comedy;in stock;orange;69.99;
mns345co;Miscellaneous;used;Chair;out of stock;blue;89.99;
abc889sm;Apparel & Accessories > Shoes;new;Running;in stock;red;35.99;
klm234uk;Apparel & Accessories > Clothing ;new;Shirt;out of stock;black;19.99;
xyz124pt;Apparel & Accessories > Clothing ;used;Jeans;out of stock;violet;25.99;
dvd234sm;Miscellaneous;new;Sunglasses;pre-order;white;59.99;
dvd889rs;Miscellaneous;new;Phone;in stock;blue;129.99;
cdh345uk;Apparel & Accessories > Clothing ;refurbished;Jeans;pre-order;red;100.5;
mvs222sm;Media > Music;new;Rock;pre-order;blue;29.99;
dvd444ww;Media > DVDs & Movies;used;Science Fiction;in stock;yellow;24.99;
mns567ww;Apparel & Accessories > Clothing ;used;Jacket;in stock;red;99.99;
acc111uk;Media > Music;refurbished;Hip Hop;in stock;red;19.99;
acc678ch;Apparel & Accessories > Clothing ;refurbished;T-Shirt;pre-order;black;100.5;
med678bg;Home > Electronics;used;Remote;in stock;orange;100.5;
med333uk;Apparel & Accessories > Shoes;used;Running;in stock;black;24.99;
wmn999pt;Home > Appliances;used;Coffee maker;out of stock;magenta;79.99;
dvd777bg;Media > Music;new;Hip Hop;pre-order;black;59.99;
cdh889in;Media > DVDs & Movies;refurbished;Animation;in stock;blue;29.99;
jpu124ch;Media > DVDs & Movies;new;Science Fiction;out of stock;magenta;19.99;
abc124in;Home > Electronics;refurbished;TV;in stock;orange;130.99;
dvd889us;Home > Appliances;refurbished;Rice cooker;out of stock;black;102.25;
inr999pt;Home > Electronics;used;Streaming Device;in stock;black;79.99;
acc888ch;Media > DVDs & Movies;new;Comedy;pre-order;yellow;29.99;
mns567us;Miscellaneous;used;Phone;out of stock;red;79.99;
clo124bg;Media > Music;new;Pop;in stock;violet;25.99;
clo222co;Apparel & Accessories > Clothing ;new;Jeans;in stock;green;102.25;
misc222us;Apparel & Accessories > Clothing ;used;Jacket;in stock;blue;69.99;
kid123ch;Miscellaneous;used;Chair;in stock;white;24.99;
acc555pt;Apparel & Accessories > Shoes;used;Boots;out of stock;black;49.99;
wmn666uk;Apparel & Accessories > Clothing ;refurbished;Jacket;in stock;yellow;9.99;
elc123in;Home > Appliances;new;Frying Pans;out of stock;blue;39.99;
kid234ch;Apparel & Accessories > Clothing ;new;T-Shirt;out of stock;red;25.99;
elc222ch;Home > Appliances;new;Ice maker;in stock;violet;149.99;
klm555pt;Home > Appliances;used;Rice cooker;out of stock;red;29.99;
clo124us;Home > Electronics;new;Streaming Device;in stock;magenta;35.99;
mns124rs;Home > Appliances;refurbished;Rice cooker;out of stock;white;102.25;
med666ch;Miscellaneous;new;Sunglasses;out of stock;green;79.99;
jpu678ch;Apparel & Accessories > Clothing ;new;Shirt;pre-order;violet;69.99;
elc342bg;Miscellaneous;new;Sunglasses;out of stock;blue;99.99;
misc777rs;Media > DVDs & Movies;used;Animation;out of stock;magenta;89.99;
itm888ch;Media > DVDs & Movies;used;Animation;in stock;white;9.99;
cdh666ww;Home > Appliances;used;Coffee maker;pre-order;orange;39.99;
misc222co;Media > DVDs & Movies;refurbished;Comedy;in stock;black;105.99;
cdh234pt;Miscellaneous;new;Phone;in stock;blue;59.99;
wmn999ch;Home > Electronics;used;Microwave;out of stock;yellow;25.99;
itm456pt;Home > Appliances;used;Juice Mixer;pre-order;white;19.99;
itm124co;Apparel & Accessories > Shoes;refurbished;Sneakers;in stock;white;19.99;
cdh888uk;Apparel & Accessories > Clothing ;new;Jacket;out of stock;green;129.99;
abc234rs;Home > Electronics;new;HDMI;in stock;black;130.99;
mgz999in;Home > Electronics;new;TV;out of stock;magenta;100.5;
med555in;Miscellaneous;new;Sunglasses;out of stock;blue;35.99;
sho222co;Miscellaneous;refurbished;Tablet;pre-order;violet;100.5;
mgz777rs;Apparel & Accessories > Clothing ;new;Shirt;out of stock;violet;59.99;
acc666sm;Apparel & Accessories > Clothing ;new;T-Shirt;out of stock;blue;25.99;
dvd456sm;Media > Music;new;Jazz;out of stock;blue;35.99;
cdh345ch;Miscellaneous;refurbished;Sunglasses;in stock;white;99.99;
clo889ch;Media > DVDs & Movies;used;Science Fiction;out of stock;red;101.99;
kid666uk;Media > Music;used;Rock;in stock;green;35.99;
itm111pt;Home > Appliances;new;Coffee maker;out of stock;blue;59.99;
med789sm;Home > Appliances;new;Rice cooker;in stock;blue;59.99;
itm123us;Media > Music;new;Rock;pre-order;white;99.99;
mgz333us;Home > Electronics;used;TV;in stock;blue;101.99;
elc101us;Media > Music;used;Hip Hop;in stock;violet;100.5;
cdh342us;Home > Electronics;new;Microwave;in stock;red;9.99;
inr888rs;Apparel & Accessories > Shoes;new;Running;out of stock;violet;19.99;
clo555us;Media > DVDs & Movies;used;Action;in stock;red;69.99;
abc333in;Miscellaneous;used;Table;pre-order;blue;25.99;
dvd123in;Media > DVDs & Movies;used;Action;pre-order;red;9.99;
kid567ww;Apparel & Accessories > Clothing ;new;Shirt;pre-order;yellow;69.99;
misc567ch;Media > DVDs & Movies;new;Science Fiction;pre-order;violet;9.99;
itm333rs;Home > Electronics;new;Microwave;out of stock;blue;89.99;
mns456co;Apparel & Accessories > Shoes;refurbished;Running;in stock;black;79.99;
inr123in;Apparel & Accessories > Clothing ;new;Jeans;in stock;white;105.99;
xyz678bg;Miscellaneous;new;Sunglasses;out of stock;black;9.99;
misc889ch;Miscellaneous;used;Table;pre-order;yellow;35.99;
jpu777ch;Home > Electronics;refurbished;HDMI;pre-order;violet;129.99;
jpu444sm;Home > Appliances;used;Juice Mixer;pre-order;magenta;105.99;
kid123co;Home > Electronics;new;HDMI;in stock;orange;149.99;
wmn333ch;Home > Electronics;used;HDMI;pre-order;orange;129.99;
med101uk;Media > Music;used;Pop;in stock;yellow;19.99;
inr345bg;Miscellaneous;new;Chair;in stock;violet;49.99;
jpu345pt;Apparel & Accessories > Shoes;used;Sandals;pre-order;magenta;130.99;
jpu789uk;Home > Appliances;new;Juice Mixer;out of stock;magenta;100.5;
cdh111ww;Miscellaneous;used;Table;pre-order;violet;49.99;
klm666us;Miscellaneous;new;Phone;out of stock;red;59.99;
inr789uk;Apparel & Accessories > Shoes;new;Sandals;in stock;violet;69.99;
clo678ww;Home > Appliances;refurbished;Ice maker;in stock;green;25.99;
abc342ch;Apparel & Accessories > Shoes;new;Sandals;pre-order;orange;24.99;
abc444bg;Media > DVDs & Movies;new;Documentary;in stock;black;49.99;
med222uk;Home > Appliances;used;Frying Pans;pre-order;yellow;69.99;
elc789pt;Miscellaneous;used;Chair;pre-order;yellow;9.99;
mns234ch;Media > Music;used;Country;in stock;magenta;24.99;
klm101bg;Media > DVDs & Movies;used;Science Fiction;pre-order;blue;149.99;
abc789ch;Apparel & Accessories > Shoes;used;Sneakers;out of stock;red;35.99;
wmn777uk;Home > Appliances;used;Juice Mixer;in stock;violet;69.99;
inr333uk;Media > DVDs & Movies;new;Comedy;pre-order;red;129.99;
mvs123sm;Apparel & Accessories > Clothing ;used;T-Shirt;out of stock;blue;130.99;
elc101ww;Home > Appliances;new;Rice cooker;pre-order;white;101.99;
kid234sm;Home > Appliances;new;Rice cooker;in stock;orange;49.99;
mns789pt;Media > DVDs & Movies;new;Action;in stock;magenta;29.99;
jpu123ch;Apparel & Accessories > Clothing ;refurbished;Jacket;out of stock;yellow;19.99;
mns567us;Miscellaneous;new;Chair;in stock;white;130.99;
clo123bg;Miscellaneous;used;Chair;in stock;orange;149.99;
xyz444sm;Miscellaneous;refurbished;Phone;pre-order;violet;102.25;
mvs888ww;Home > Electronics;new;Streaming Device;out of stock;green;39.99;
itm123bg;Media > Music;refurbished;Rock;out of stock;black;105.99;
mgz342us;Apparel & Accessories > Clothing ;used;Shirt;in stock;white;69.99;
abc555co;Home > Appliances;used;Frying Pans;out of stock;green;35.99;
cdh234co;Media > DVDs & Movies;used;Documentary;pre-order;violet;69.99;
klm101bg;Apparel & Accessories > Shoes;new;Running;pre-order;white;19.99;
elc111ch;Media > Music;refurbished;Jazz;in stock;green;59.99;
klm567ch;Media > Music;used;Jazz;pre-order;blue;89.99;
klm789uk;Apparel & Accessories > Shoes;used;Flats;pre-order;violet;101.99;
kid567co;Apparel & Accessories > Shoes;new;Boots;pre-order;yellow;99.99;
med444in;Media > DVDs & Movies;refurbished;Animation;pre-order;blue;105.99;
clo888in;Home > Appliances;new;Juice Mixer;out of stock;magenta;89.99;
clo678in;Apparel & Accessories > Clothing ;used;Jacket;pre-order;blue;89.99;
inr222us;Apparel & Accessories > Clothing ;used;T-Shirt;in stock;red;89.99;
mvs888ch;Home > Electronics;used;Microwave;pre-order;green;101.99;
clo124in;Apparel & Accessories > Clothing ;used;T-Shirt;out of stock;blue;149.99;
cdh124uk;Media > Music;used;Country;in stock;yellow;149.99;
bks789uk;Media > Music;refurbished;Country;pre-order;violet;99.99;
inr555co;Home > Electronics;used;Streaming Device;in stock;violet;69.99;
clo345uk;Apparel & Accessories > Shoes;refurbished;Sneakers;out of stock;blue;130.99;
clo678in;Media > DVDs & Movies;new;Action;pre-order;black;129.99;
itm222ww;Media > Music;used;Hip Hop;in stock;violet;19.99;
jpu444co;Apparel & Accessories > Shoes;new;Sandals;in stock;green;39.99;
mvs222sm;Media > DVDs & Movies;refurbished;Comedy;pre-order;white;149.99;
mvs123co;Miscellaneous;new;Tablet;pre-order;magenta;129.99;
mns101pt;Miscellaneous;refurbished;Tablet;in stock;red;130.99;
elc456in;Home > Electronics;refurbished;Microwave;in stock;orange;101.99;
kid777uk;Apparel & Accessories > Clothing ;used;T-Shirt;out of stock;red;19.99;
mvs999uk;Apparel & Accessories > Shoes;used;Boots;pre-order;orange;102.25;
dvd999pt;Home > Appliances;new;Ice maker;in stock;orange;79.99;
acc123rs;Apparel & Accessories > Shoes;used;Flats;out of stock;green;101.99;
kid345bg;Apparel & Accessories > Clothing ;new;Shirt;out of stock;green;101.99;
mns345rs;Miscellaneous;used;Tablet;in stock;green;129.99;
mgz123pt;Miscellaneous;used;Chair;in stock;green;49.99;
mvs111us;Media > Music;new;Country;pre-order;magenta;39.99;
cdh666bg;Apparel & Accessories > Shoes;new;Running;out of stock;blue;25.99;
mvs234rs;Media > DVDs & Movies;refurbished;Animation;out of stock;red;105.99;
itm567in;Apparel & Accessories > Shoes;new;Running;in stock;red;89.99;
itm678sm;Media > Music;new;Rock;in stock;black;69.99;
clo789uk;Media > Music;used;Hip Hop;pre-order;black;89.99;
itm222uk;Media > DVDs & Movies;refurbished;Documentary;out of stock;red;149.99;
elc444us;Apparel & Accessories > Shoes;refurbished;Running;in stock;green;24.99;
klm345ww;Home > Appliances;used;Rice cooker;pre-order;orange;102.25;
klm889ww;Apparel & Accessories > Clothing ;new;Dress;out of stock;red;89.99;
bks789ch;Apparel & Accessories > Shoes;refurbished;Sneakers;out of stock;black;130.99;
clo889rs;Apparel & Accessories > Clothing ;new;Dress;pre-order;blue;99.99;
med124uk;Apparel & Accessories > Clothing ;refurbished;Dress;pre-order;red;129.99;
jpu888ch;Home > Electronics;new;Remote;in stock;black;24.99;
bks342us;Apparel & Accessories > Shoes;refurbished;Boots;pre-order;red;24.99;
kid222bg;Media > DVDs & Movies;new;Animation;in stock;violet;25.99;
xyz234uk;Media > Music;used;Pop;in stock;blue;59.99;
xyz666ww;Miscellaneous;refurbished;Sunglasses;in stock;red;101.99;
wmn777bg;Home > Electronics;new;HDMI;in stock;green;49.99;
itm124in;Apparel & Accessories > Clothing ;used;Jeans;pre-order;orange;105.99;
jpu889sm;Home > Appliances;used;Coffee maker;pre-order;green;24.99;
clo342pt;Apparel & Accessories > Shoes;new;Flats;in stock;red;19.99;
dvd678sm;Home > Appliances;new;Frying Pans;pre-order;magenta;69.99;
med345co;Home > Appliances;used;Juice Mixer;pre-order;white;105.99;
bks345pt;Apparel & Accessories > Clothing ;used;T-Shirt;out of stock;blue;69.99;
abc567in;Home > Electronics;refurbished;TV;out of stock;red;59.99;
sho123ww;Home > Electronics;refurbished;Remote;pre-order;yellow;129.99;
itm666co;Home > Electronics;refurbished;TV;in stock;magenta;24.99;
med101co;Home > Appliances;used;Ice maker;in stock;green;99.99;
mgz678in;Home > Electronics;used;Microwave;in stock;magenta;101.99;
klm101ch;Media > Music;new;Pop;pre-order;blue;9.99;
bks666sm;Home > Appliances;used;Frying Pans;out of stock;green;35.99;
sho678uk;Media > Music;new;Rock;out of stock;blue;35.99;
klm889ch;Media > Music;new;Pop;pre-order;red;49.99;
cdh555ww;Apparel & Accessories > Clothing ;refurbished;Dress;in stock;magenta;19.99;
mgz124uk;Media > DVDs & Movies;refurbished;Animation;in stock;magenta;59.99;
sho456uk;Media > DVDs & Movies;refurbished;Comedy;out of stock;black;25.99;
inr342co;Media > Music;used;Hip Hop;in stock;white;99.99;
misc666in;Home > Appliances;new;Juice Mixer;pre-order;red;129.99;
mns333co;Media > DVDs & Movies;used;Animation;out of stock;yellow;9.99;
dvd222bg;Apparel & Accessories > Clothing ;used;T-Shirt;pre-order;blue;105.99;
itm222ch;Home > Appliances;new;Ice maker;out of stock;magenta;99.99;
abc789sm;Apparel & Accessories > Shoes;used;Sandals;in stock;green;102.25;
acc342ww;Media > Music;used;Country;out of stock;magenta;24.99;
misc678pt;Apparel & Accessories > Shoes;refurbished;Sandals;out of stock;red;130.99;
abc342pt;Apparel & Accessories > Shoes;new;Boots;in stock;yellow;25.99;
mvs101in;Apparel & Accessories > Shoes;used;Sandals;pre-order;blue;130.99;
kid333us;Apparel & Accessories > Clothing ;used;Shirt;pre-order;magenta;79.99;
acc333us;Home > Appliances;new;Frying Pans;pre-order;yellow;35.99;
mvs777in;Home > Appliances;new;Ice maker;in stock;blue;9.99;
misc888pt;Miscellaneous;used;Phone;in stock;violet;25.99;
mgz342sm;Media > DVDs & Movies;new;Action;out of stock;red;39.99;
elc889us;Home > Appliances;refurbished;Coffee maker;pre-order;white;129.99;
mns345us;Home > Electronics;used;TV;in stock;blue;129.99;
mgz456in;Apparel & Accessories > Clothing ;refurbished;Jeans;in stock;blue;102.25;
mns342bg;Media > DVDs & Movies;used;Action;in stock;blue;69.99;
clo999in;Home > Appliances;new;Juice Mixer;in stock;violet;102.25;
misc234rs;Home > Appliances;new;Frying Pans;pre-order;blue;39.99;
sho678bg;Home > Electronics;used;HDMI;in stock;magenta;79.99;
mgz789co;Media > DVDs & Movies;used;Animation;pre-order;orange;59.99;
mgz111pt;Miscellaneous;refurbished;Chair;in stock;magenta;89.99;
wmn123ww;Apparel & Accessories > Clothing ;used;Jeans;in stock;red;69.99;
inr567sm;Home > Electronics;new;TV;pre-order;red;59.99;
mvs666co;Home > Electronics;refurbished;Remote;out of stock;blue;29.99;
cdh234pt;Media > Music;new;Hip Hop;pre-order;black;99.99;
kid234us;Media > Music;new;Rock;in stock;blue;69.99;
wmn777ww;Home > Appliances;new;Rice cooker;in stock;yellow;102.25;
misc456ch;Apparel & Accessories > Clothing ;refurbished;Jeans;out of stock;white;19.99;
elc111pt;Miscellaneous;new;Table;in stock;red;149.99;
misc567rs;Apparel & Accessories > Shoes;used;Running;out of stock;yellow;102.25;
klm345bg;Apparel & Accessories > Clothing ;used;Shirt;in stock;orange;105.99;
kid222rs;Home > Electronics;refurbished;Remote;out of stock;red;100.5;
bks789us;Apparel & Accessories > Clothing ;refurbished;Shirt;in stock;blue;49.99;
inr444co;Media > DVDs & Movies;refurbished;Science Fiction;in stock;green;39.99;
mgz456us;Miscellaneous;used;Sunglasses;out of stock;violet;130.99;
jpu123us;Apparel & Accessories > Clothing ;used;T-Shirt;out of stock;green;35.99;
sho666us;Miscellaneous;new;Sunglasses;out of stock;yellow;59.99;
mvs123uk;Media > DVDs & Movies;used;Documentary;in stock;magenta;49.99;
sho111rs;Home > Appliances;refurbished;Frying Pans;pre-order;magenta;19.99;
xyz678in;Home > Electronics;used;Microwave;pre-order;white;59.99;
med123ww;Miscellaneous;new;Tablet;in stock;blue;25.99;
mvs678rs;Apparel & Accessories > Clothing ;used;T-Shirt;pre-order;black;19.99;
misc444in;Apparel & Accessories > Clothing ;new;Shirt;pre-order;blue;49.99;
itm888us;Apparel & Accessories > Shoes;used;Sneakers;in stock;blue;35.99;
elc777ch;Apparel & Accessories > Shoes;new;Sandals;pre-order;orange;35.99;
cdh101uk;Apparel & Accessories > Clothing ;refurbished;Jacket;in stock;green;99.99;
mgz222bg;Home > Appliances;refurbished;Coffee maker;in stock;black;79.99;
itm789sm;Apparel & Accessories > Clothing ;refurbished;Jacket;in stock;orange;101.99;
cdh456pt;Media > DVDs & Movies;refurbished;Animation;in stock;green;39.99;
acc789bg;Media > Music;new;Hip Hop;pre-order;yellow;130.99;
mns222us;Home > Appliances;used;Coffee maker;pre-order;violet;105.99;
mvs342ch;Home > Appliances;refurbished;Rice cooker;out of stock;white;59.99;
clo222co;Apparel & Accessories > Clothing ;new;Shirt;in stock;blue;102.25;
misc342ww;Home > Appliances;new;Ice maker;in stock;violet;79.99;
dvd222pt;Media > Music;used;Country;pre-order;blue;129.99;
kid333ch;Apparel & Accessories > Clothing ;refurbished;Dress;out of stock;magenta;69.99;
abc333co;Miscellaneous;refurbished;Tablet;out of stock;blue;69.99;
bks444bg;Miscellaneous;new;Chair;out of stock;white;69.99;
misc345us;Media > Music;used;Pop;in stock;blue;101.99;
mvs678co;Home > Electronics;used;Remote;pre-order;black;99.99;
xyz678sm;Apparel & Accessories > Shoes;refurbished;Sandals;pre-order;yellow;101.99;
bks789uk;Home > Appliances;refurbished;Frying Pans;in stock;blue;89.99;
itm567ch;Home > Appliances;new;Rice cooker;out of stock;red;9.99;
inr889bg;Apparel & Accessories > Clothing ;refurbished;Jacket;out of stock;red;149.99;
itm123in;Media > DVDs & Movies;new;Documentary;in stock;white;105.99;
klm999us;Miscellaneous;new;Table;out of stock;blue;25.99;
jpu345bg;Apparel & Accessories > Shoes;refurbished;Sneakers;in stock;orange;19.99;
abc101co;Miscellaneous;new;Chair;in stock;red;105.99;
misc777bg;Miscellaneous;used;Chair;out of stock;white;19.99;
mgz333in;Media > Music;new;Pop;in stock;blue;4.19;
bks111rs;Home > Appliances;new;Rice cooker;out of stock;blue;99.99;
jpu666uk;Media > DVDs & Movies;new;Action;in stock;black;19.99;
dvd777pt;Home > Electronics;new;Microwave;pre-order;violet;35.99;
mns789in;Home > Appliances;refurbished;Ice maker;out of stock;violet;69.99;
itm555bg;Media > Music;refurbished;Hip Hop;out of stock;violet;102.25;
mgz111rs;Home > Appliances;used;Rice cooker;in stock;black;79.99;
itm666pt;Media > Music;refurbished;Hip Hop;pre-order;violet;79.99;
sho666us;Home > Electronics;used;Streaming Device;pre-order;black;129.99;
acc101ww;Media > Music;new;Hip Hop;out of stock;orange;69.99;
bks342ch;Apparel & Accessories > Shoes;used;Flats;out of stock;blue;35.99;
bks124rs;Home > Appliances;used;Coffee maker;pre-order;yellow;35.99;
clo789in;Media > Music;new;Rock;pre-order;black;19.99;
misc777rs;Home > Appliances;new;Coffee maker;in stock;magenta;89.99;
elc101us;Media > DVDs & Movies;refurbished;Science Fiction;in stock;white;39.99;
cdh345pt;Apparel & Accessories > Shoes;refurbished;Boots;pre-order;green;19.99;
mns456ww;Media > DVDs & Movies;used;Science Fiction;out of stock;magenta;101.99;
sho345rs;Media > Music;new;Hip Hop;pre-order;yellow;89.99;
clo999ch;Media > DVDs & Movies;used;Action;pre-order;white;39.99;
bks777us;Miscellaneous;refurbished;Sunglasses;in stock;red;35.99;
elc777ch;Apparel & Accessories > Shoes;new;Sneakers;in stock;orange;100.5;
wmn342in;Apparel & Accessories > Clothing ;new;Jeans;pre-order;orange;149.99;
acc111ch;Media > DVDs & Movies;refurbished;Animation;in stock;red;19.99;
acc123ch;Home > Appliances;refurbished;Juice Mixer;in stock;green;101.99;
sho444bg;Apparel & Accessories > Shoes;refurbished;Sneakers;in stock;blue;24.99;
misc123bg;Home > Appliances;used;Juice Mixer;out of stock;orange;101.99;
clo555ch;Apparel & Accessories > Clothing ;new;Shirt;in stock;magenta;39.99;
clo789in;Media > DVDs & Movies;new;Animation;in stock;yellow;49.99;
misc555rs;Media > Music;refurbished;Rock;pre-order;red;130.99;
dvd889ch;Apparel & Accessories > Clothing ;used;Dress;out of stock;violet;79.99;
mgz789ww;Media > DVDs & Movies;new;Science Fiction;in stock;blue;59.99;
kid888co;Media > Music;used;Rock;out of stock;orange;149.99;
xyz666rs;Media > Music;new;Rock;in stock;black;101.99;
mvs123us;Miscellaneous;refurbished;Chair;in stock;yellow;99.99;
elc456pt;Media > Music;new;Jazz;in stock;blue;102.25;
klm111pt;Home > Electronics;refurbished;HDMI;in stock;magenta;105.99;
jpu111co;Apparel & Accessories > Shoes;used;Boots;pre-order;orange;79.99;
dvd456sm;Apparel & Accessories > Clothing ;new;Shirt;in stock;green;19.99;
elc999rs;Miscellaneous;new;Phone;in stock;blue;69.99;
wmn222sm;Home > Electronics;used;Microwave;out of stock;blue;19.99;
mns111us;Apparel & Accessories > Shoes;refurbished;Boots;in stock;orange;25.99;
misc444uk;Home > Electronics;refurbished;TV;in stock;blue;130.99;
