Run!	Fugi!
I'm doubtful.	Am dubii.
I'm doubtful.	Am îndoieli.
I'm so tired!	Sunt atât de obosit!
I'm starving!	Mor de foame!
I'm the best.	Sunt cel mai bun.
Is that love?	Este asta dragoste?
It was alive.	A fost viu.
It's an omen.	Este o prevestire.
It's perfect.	Este perfect.
It's raining.	Plouă!
Let's try it.	Să o încercăm.
Move quietly.	Mișcă-te în liniște.
My feet hurt.	Mă dor picioarele.
Now drink up.	Acuma bea!
She is happy.	Ea este fericită.
This is easy.	E uşor.
Unbelievable!	De necrezut!
We apologize.	Ne cerem scuze.
We know them.	Noi îi știm.
We must talk.	Trebuie să vorbim.
We need both.	Avem nevoie de ambele.
We need rain.	Avem nevoie de ploaie.
We need rest.	Avem nevoie de odihnă.
We're at war.	Suntem în război.
We're coming.	Noi venim.
What is love?	Ce e dragostea?
What is this?	Ce-i asta?
Where are we?	Unde suntem?
Who built it?	Cine l-a construit?
Who was here?	Cine a fost aici?
You are late.	Ai întârziat.
You can rest.	Te poţi odihni.
You're cruel.	Ești crud.
You're cruel.	Ești crudă.
You're cruel.	Sunteți crud.
You're cruel.	Sunteți crudă.
Are you bored?	Te-ai plictisit?
Do I know him?	Îl știu?
Don't be late.	Să nu întârzii.
He eats a lot.	El mănâncă mult.
He has a maid.	El are o menajeră.
He has a maid.	El are o servitoare.
He is my boss.	El este șeful meu.
Hold on to it.	Ține-te bine.
Hold on to me.	Ține-te de mine.
I believe you.	Te cred.
I do like you.	Chiar îmi placi.
I do love you.	Te iubesc.
I don't steal.	Eu nu fur.
I feel sleepy.	Mi-e somn.
I feel unwell.	Nu mă simt bine.
I fell asleep.	Am adormit.
I have to eat.	Trebuie să mănânc.
I like sweets.	Îmi plac bomboanele.
I like tennis.	Îmi place tenisul.
I lost my key.	Mi-am pierdut cheia.
I miss Boston.	Îmi lipsește Bostonul.
I must go now.	Trebuie să merg acum.
I need a loan.	Am nevoie de un împrumut.
I read a book.	Citesc o carte.
I saw a fight.	Am văzut o bătaie.
I saw the dog.	Am vazut câinele.
I see a house.	Văd o casă.
I told Tom no.	I-am spus nu lui Tom.
I was at home.	Eram acasă.
I was correct.	Am avut dreptate.
I was lenient.	Am fost îngăduitor.
I'll take him.	Îl voi lua.
I'll watch TV.	Voi privi televizorul.
I'm exhausted.	Sunt epuizat.
I'm impartial.	Sunt imparțial.
I'm sensitive.	Sunt sensibil.
I'm very poor.	Sunt foarte sărac.
I've returned.	M-am întors.
Is it painful?	Este dureros?
Is that a fox?	Aia este o vulpe?
Is that clear?	E clar?
It has a flaw.	Are un defect.
It is no joke.	Nu e glumă.
It is raining.	Plouă.
It's my fault.	E vina mea.
It's not mine.	Nu este al meu.
It's too loud.	E prea tare.
It's worth it.	Merită.
Keep in touch.	Ținem legătura.
Life is short.	Viața este scurtă.
Life is sweet.	Viața e frumoasă.
Love is crazy.	Iubirea este o nebunie.
My head aches.	Mă doare capul.
My name's Tom.	Numele meu este Tom.
My name's Tom.	Mă cheamă Tom.
Oh, I'm sorry.	O, îmi pare rău.
Pace yourself.	Împacă-te cu tine însuți.
Pace yourself.	Împacă-te cu tine însăți.
She loves him.	Ea îl iubește.
Start writing.	Începe să scrii.
Stir the soup.	Amestecă în supă.
Stop gambling.	Nu mai juca.
Straighten up.	Îndreaptă-te.
That's a fake.	Asta e falsă.
That's a fake.	Ăsta e fals.
That's my boy.	Acesta e fiul meu.
That's simple.	Acesta este simplu.
They had some.	Ei au servit ceva.
This is a pun.	Acesta e un joc de cuvinte.
This is cheap.	Asta este ieftină.
Tom is mature.	Tom este matur.
Tom is upbeat.	Tom este optimist.
Tom just left.	Tom tocmai a plecat.
Tom looks sad.	Tom pare trist.
Tom sat still.	Tom a stat liniștit.
Tom sat still.	Tom a stat nemișcat.
Tom shot Mary.	Tom a împușcat-o pe Mary.
Tom was dirty.	Tom era murdar.
Tom won again.	Tom a câștigat din nou.
Use your fist.	Folosește-ți pumnul!
Wait a minute.	Stai puțin.
We are at war.	Suntem în război.
We are coming.	Noi venim.
We must speak.	Trebuie să vorbim.
We're cousins.	Suntem verișori.
What do I owe?	Ce datorez?
Who does that?	Cine face asta?
Who's winning?	Cine câștigă?
You can do it.	O poți face.
You look fine.	Arătaţi bine.
Boil the water.	Fierbe apa.
Coffee, please.	O cafea, te rog.
Come back home.	Întoarce-te acasă.
Cows eat grass.	Vacile mănâncă iarbă.
Do you know me?	Mă cunoști?
Don't be silly.	Nu fi prost.
Everyone knows.	Toți știu.
Get in the car.	Urcă în mașină.
Get in the car.	Urcați în mașină.
Happy New Year!	Un An Nou fericit!
He counts fast.	El numără repede.
He is my uncle.	El e unchiul meu.
He is not dumb.	Nu e prost.
He is well off.	El este înstărit.
He is well off.	El este avut.
He is well off.	El este bogat.
He sang a song.	El cânta un cântec.
How much is it?	Cât costă?
I didn't cheat.	N-am trișat.
I have a dream.	Am un vis.
I just gave up.	Tocmai am renunțat.
I like singing.	Îmi place să cânt.
I love cooking.	Îmi place să gătesc.
I love lasagna.	Iubesc lasagna.
I love my wife.	Îmi iubesc soția.
I want to rest.	Vreau să mă odihnesc.
I'll move soon.	Mă voi muta în curând.
I'm not crying.	Nu plâng.
I'm so excited.	Sunt atât de entuziasmat.
I'm undressing.	Mă dezbrac.
I'm used to it.	Sunt obișnuit cu asta.
I've moved out.	M-am mutat.
Is he a doctor?	Este el doctor?
Is he a doctor?	E el medic?
Is he sleeping?	Doarme?
Is he sleeping?	El doarme?
It was a mouse.	A fost un șoarece.
It's all white.	Totul este alb.
It's dangerous!	E periculos!
It's dangerous!	Este periculos!
It's up to you.	E alegerea ta.
It's very cold.	E foarte frig.
Leave me alone.	Lasă-mă în pace.
Lend me a hand.	Dă-mi o mână de ajutor.
Let me do this.	Lasă-mă să fac asta.
Lying is wrong.	Să minți e greșit.
More is needed.	Trebuie mai mult.
My dad is busy.	Tatăl meu este ocupat.
My joints ache.	Mă dor încheieturile.
My name is Tom.	Numele meu este Tom.
No one was hit.	Nimeni nu a fost lovit.
Please come in.	Te rog, intră.
Please come in.	Intră, te rog.
She grew roses.	Ea cultiva trandafiri.
That's a hotel.	Acela este un hotel.
That's a table.	Aceea este o masă.
That's my idea.	Asta e ideea mea.
That's my idea.	Aia e ideea mea.
That's perfect.	Ăsta e perfect.
That's the law.	Asta e legea.
They're allies.	Ei sunt aliați.
This is a joke.	Aceasta este o glumă.
This is simple.	Acesta este simplu.
This is simple.	Aceasta este simplă.
Throw the dice.	Dă cu zarul!
Time will tell.	Timpul va spune.
Tom should eat.	Tom ar trebui să mănânce.
Tom wasn't shy.	Tom nu era timid.
We're unbiased.	Suntem imparțiali.
Were you tired?	Ai fost obosit?
Were you tired?	Ai fost obosită?
Were you tired?	Ați fost obosit?
Were you tired?	Ați fost obosită?
What a letdown!	Ce dezamăgire!
Where were you?	Unde-ai fost?
Who knows that?	Cine știe asta?
Who plays golf?	Cine joacă golf?
Why do you ask?	De ce întrebi?
Women loved it.	Femeilor le-a plăcut.
You can't quit.	Nu poți renunța.
You may answer.	Poți răspunde.
You were right.	Aveai dreptate.
You're my type.	Ești genul meu.
You're unlucky.	Ești norocos.
Call the police!	Sună la poliție!
Call the police!	Cheamă poliția!
Check your list.	Verifică-ți lista!
Close that door.	Închide ușa aia!
Close the hatch.	Închide trapa.
Come towards me.	Vino înspre mine.
Congratulations!	Felicitări!
Cover your eyes.	Acoperă-ți ochii!
Did anyone care?	I-a păsat cuiva?
Did you miss me?	Ți-a fost dor de mine?
Do we have time?	Avem timp?
Do you eat fish?	Mănânci pește?
Do you like tea?	Îți place ceaiul?
Do you remember?	Îți amintești?
Don't back down.	Nu te răzgândi!
Don't be afraid.	Nu îți fie frică.
Don't be greedy.	Nu fi lacom!
Don't be stingy.	Nu fi zgârcit.
Don't be stupid.	Nu fi prost.
Don't come back.	Nu te întoarce.
Don't get drunk.	Nu te îmbăta!
Don't look away.	Nu-ți întoarce privirea.
Don't trust Tom.	Să n-ai încredere în Tom.
Double your bet.	Dublează-ți pariul.
Double your bet.	Dublează-ți miza.
Drive carefully.	Condu prudent.
Drive carefully.	Condu cu atenție.
Get back inside.	Revino înăuntru.
Grab your stuff.	Ia-ți lucrurile!
He is a painter.	El este un pictor.
He is in chains.	El este încătușat.
He lied readily.	El a mințit cu ușurință.
He saw the girl.	El a văzut fata.
He was laid off.	A fost concediat.
He writes books.	El scrie cărţi.
He's a gardener.	El este grădinar.
He's a pushover.	E un fraier.
Hold the candle.	Ține lumânarea!
How is everyone?	Ce mai face toată lumea?
How old are you?	Ce vârstă aveţi?
How old are you?	Câți ani ai?
I abhor spiders.	Urăsc păianjenii.
I almost forgot.	Aproape că am uitat.
I am a good boy.	Sunt băiat bun.
I am from Egypt.	Sunt din Egipt.
I am not eating.	Eu nu mănânc.
I am undressing.	Mă dezbrac.
I amused myself.	M-am amuzat.
I baked cookies.	Am copt prăjituri.
I called him up.	L-am sunat.
I called him up.	I-am dat un telefon.
I can't find it.	Nu pot să o găsesc.
I can't find it.	Nu reușesc să o găsesc.
I chickened out.	M-am speriat.
I deserved that.	Am meritat-o.
I didn't forget.	Nu am uitat.
I didn't listen.	Nu am ascultat.
I didn't notice.	Nu am observat.
I didn't scream.	Nu am țipat.
I didn't shower.	Nu mi-am făcut duș.
I disobeyed you.	Nu te-am ascultat.
I downloaded it.	L-am descărcat.
I feel fine now.	Mă simt bine acum.
I have two cats.	Am două pisici.
I heard screams.	Am auzit țipete.
I heard yelling.	Am auzit (pe cineva) țipând.
I hurt my elbow.	M-am lovit la cot.
I just finished.	Tocmai am terminat.
I just panicked.	Pur și simplu m-am panicat.
I just showered.	Tocmai am făcut un duș.
I know his name.	Eu știu numele său.
I lost interest.	Mi-am pierdut interesul.
I love your car.	Iubesc mașina ta.
I made brownies.	Am făcut negrese.
I missed supper.	Am sărit peste cină.
I need a pencil.	Am nevoie de un creion.
I need somebody.	Am nevoie de cineva.
I need to check.	Trebuie să verific.
I need to study.	Trebuie să studiez.
I ordered pizza.	Am comandat pizza.
I paid my taxes.	Mi-am plătit taxele.
I prefer biking.	Prefer mersul pe bicicletă.
I prefer coffee.	Îmi place mai mult cafeaua.
I read a letter.	Am citit o scrisoare.
I remembered it.	Mi-am adus aminte.
I run every day.	Alerg în fiecare zi.
I saw something.	Am văzut ceva.
I want a guitar.	Vreau o chitară.
I was assaulted.	Am fost atacat.
I was concerned.	Eram îngrijorat.
I was convicted.	Am fost condamnat.
I was desperate.	Am fost disperat.
I was impressed.	Am fost impresionat.
I was kidnapped.	Am fost răpit.
I was listening.	Ascultam.
I was negligent.	Am fost neglijent.
I was petrified.	Am fost pietrificat.
I was skeptical.	Am fost sceptic.
I was surprised.	Am fost surprins.
I was terrified.	Am fost îngrozit.
I wasn't afraid.	Nu mi-a fost frică.
I wasn't asleep.	Nu dormeam.
I wasn't hungry.	Nu mi-a fost foame.
I wasn't scared.	Nu m-am speriat.
I'll ask around.	Voi întreba în jur.
I'm an engineer.	Sunt inginer.
I'm competitive.	Sunt competitiv.
I'm doing great.	Sunt foarte bine.
I'm from Turkey.	Sunt din Turcia.
I'm going to go.	Voi pleca.
I'm not ashamed.	Nu-mi e rușine.
I'm not ashamed.	Nu îmi este rușine.
I'm now married.	Sunt căsătorit acum.
I'm very hungry.	Sunt foarte flămând.
I've got a bike.	Am o bicicletă.
Is Tom an actor?	Este Tom un actor?
Is anybody home?	E cineva acasă?
Is he a teacher?	Este profesor?
It is up to you.	E alegerea ta.
It must be soon.	Trebuie să fie în curând.
It was very hot.	A fost foarte cald.
It won't happen.	Nu o să se întâmple.
It's a bad omen.	Este un semn rău.
It's a surprise.	E o surpriză.
Just ignore him.	Nu-l băga în seamă.
Just ignore him.	Ignoră-l pur și simplu.
Keep the change.	Păstrează restul.
Large, isn't it?	Întins, nu-i așa?
Let's fly kites.	Să înălțăm zmeie.
Let's rest here.	Să ne odihnim aici.
Look behind you.	Uităte în spatele tău.
Mary's my niece.	Mary este nepoata mea.
Merry Christmas!	Crăciun fericit!
My back is numb.	Spatele meu este amorțit.
Never lose hope.	Să nu-ți pierzi niciodată speranța.
No one can tell.	Nimeni nu știe.
Nobody wants it.	Nimeni nu-l dorește.
Nobody was home.	Nu era nimeni acasă.
Open your mouth!	Deschide gura!
Pick up the gun.	Ridică arma.
Prices are high.	Preţurile sunt mari.
She is a singer.	Ea este cântăreață.
She seems happy.	Ea pare fericită.
That is a table.	Aceea este o masă.
That's terrible.	Asta este groaznic.
That's very odd.	E foarte straniu.
The lake is big.	Lacul este mare.
The leaves fell.	Frunzele au căzut.
The light is on.	Lumina este pornită.
There's my team.	Iată echipa mea.
They all hugged.	Ei toți s-au îmbrățișat.
They angered me.	M-au înfuriat.
They are actors.	Ei sunt actori.
They are pretty.	Ei sunt frumușei.
They caught Tom.	L-au prins pe Tom.
They drove home.	Ei au condus spre casă.
They feared you.	Lor le era frică de tine.
They hugged Tom.	Ei l-au îmbrățișat pe Tom.
They ignored me.	Ei m-au ignorat.
They lost again.	Ei au pierdut din nou.
They missed Tom.	Le era dor de Tom.
They missed Tom.	Ei au uitat de Tom.
They seem moved.	Ei par mișcați.
They went crazy.	Au înnebunit.
They went there.	Ei s-au dus acolo.
They were dirty.	Ei erau murdari.
They were lucky.	Ei au fost norocoși.
They were right.	Ei aveau dreptate.
They were there.	Ei erau acolo.
They were wrong.	Ei au greșit.
They were wrong.	Ei nu aveau dreptate.
They were young.	Ei erau tineri.
This book's new.	Cartea asta e nouă.
This is perfect.	Ăsta e perfect.
Today is Friday.	Azi e vineri.
Today is Monday.	Azi e luni.
Today is Sunday.	Azi e duminică.
Today is hectic.	Astăzi este agitat.
Tom checked out.	Tom a plecat de la hotel.
Tom died in bed.	Tom a murit pe pat.
Tom exaggerates.	Tom exagerează.
Tom has rabbits.	Tom are iepuri.
Tom has stamina.	Tom este rezistent.
Tom is a Muslim.	Tom e musulman.
Tom is painting.	Tom vopsește.
Tom is painting.	Tom zugrăvește.
Tom left Boston.	Tom a plecat din Boston.
Tom looks bored.	Tom arăta plictisit.
Tom looks tired.	Tom pare obosit.
Tom looks young.	Tom pare tânăr.
Tom walked away.	Tom a plecat.
Tom was lenient.	Tom era îngăduitor.
Tom was lenient.	Tom era indulgent.
Tom was lenient.	Tom era blând.
Tom wore a vest.	Tom purta o vestă.
Was it worth it?	A meritat?
We are in Paris.	Suntem la Paris.
We have to talk.	Trebuie să vorbim.
We love picnics.	Iubim picnicurile.
We need to talk.	Trebuie să vorbim.
We should study.	Noi ar trebui să studiem.
We're energetic.	Suntem energici.
We're resilient.	Suntem rezistenți.
What time is it?	Cât e ceasul?
What's the time?	Cât e ceasul?
What's your age?	Câți ani ai?
When did it end?	Când s-a terminat?
When did it end?	Când s-a sfârșit?
Where's my book?	Unde e cartea mea?
Who'd know that?	Cine ar ști asta?
Why is Tom home?	De ce este Tom acasă?
You are tallest.	Tu ești cel mai înalt.
You can have it.	Poți să o iei.
You like apples.	Ție îți plac merele.
You look stupid.	Arăți stupid.
You'll be happy.	Vei fi fericit.
You'll be happy.	Vei fi fericită.
You're a coward.	Ești un laș.
You're an angel!	Ești un înger!
You're an angel.	Ești un înger!
You're unbiased.	Tu ești imparțial.
You're unbiased.	Tu ești imparțială.
You're unbiased.	Voi sunteți imparțiali.
You're unbiased.	Voi sunteți imparțială.
A lion is strong.	Leul este puternic.
Anyone can do it.	Oricine poate să o facă.
Are you Japanese?	Ești japonez?
Call me sometime.	Sună-mă cândva.
Call me tomorrow.	Sună-mă mâine.
Call this number.	Sună la acest număr.
Can you help out?	Poți să ajuți?
Can you run fast?	Poţi alerga repede?
Close the drawer.	Închide sertarul.
Come and help us.	Vino și ajută-ne.
Come eat with us.	Tu să vii să mănânci cu noi.
Do you want fish?	Vreți pește?
Dogs are barking.	Câinii latră.
Don't deceive me.	Nu mă înșela.
Don't make noise.	Să nu faceți zgomot.
Don't mislead me.	Nu mă duce pe căi greșite.
Don't mislead me.	Nu mă înșela.
Don't mislead me.	Nu mă induce în eroare.
Don't provoke me.	Nu mă provoca.
Don't rip me off!	Nu mă fraieri!
Don't touch this!	Nu te atinge de asta!
Even Tom grinned.	Până și Tom a rânjit.
Get to the point!	Treci la subiect!
Get up and fight.	Ridică-te și luptă.
Go on without me.	Continuă fără mine.
He cried for joy.	El a plâns de bucurie.
He fell backward.	El a căzut pe spate.
He has been busy.	A fost ocupat.
He is my teacher.	El e dascălul meu.
He is not stupid.	Nu e prost.
He is unsociable.	Este nesociabil.
He keeps a diary.	El ține un jurnal.
He left just now.	Tocmai a plecat.
He looked around.	El s-a uitat în jur.
He loves to fish.	Lui îi place să pescuiască.
He never existed.	El nu a existat.
He speaks French.	El vorbește franceza.
He was acquitted.	El a fost achitat.
He's a sophomore.	El este student în anul doi.
Hold your tongue!	Ține-ți gura!
I am an engineer.	Sunt inginer.
I am from Brazil.	Sunt din Brazilia.
I am very hungry.	Sunt foarte flămând.
I can't show you.	Nu îți pot arăta.
I can't show you.	Nu pot să-ți arăt.
I didn't like it.	Nu mi-a plăcut.
I didn't see him.	Nu l-am văzut.
I didn't see him.	Nu l-am zărit.
I don't love her.	Nu o iubesc.
I found it later.	Am găsit-o mai târziu.
I hate chemistry.	Urăsc chimia.
I have two books.	Am două cărți.
I hope it's over.	Sper că s-a terminat.
I just got a job.	Am fost angajat.
I like chocolate.	Îmi place ciocolata.
I like that lamp.	Îmi place acea lampă.
I like traveling.	Îmi place să călătoresc.
I live in Europe.	Eu trăiesc în Europa.
I live in Turkey.	Eu trăiesc în Turcia.
I live near here.	Locuiesc aproape de aici.
I love to travel.	Îmi place să călătoresc.
I love traveling.	Îmi place să călătoresc.
I made her happy.	Am făcut-o fericită.
I need some help.	Am nevoie de niște ajutor.
I never eat meat.	Nu mănânc niciodată carne.
I regret nothing.	Nu regret nimic.
I saw Tom's face.	Am văzut fața lui Tom.
I want you to go.	Vreau să pleci.
I will shoot him.	O să-l împușc.
I'll back you up.	Te voi susține.
I'll protect you.	Te voi proteja.
I'm 18 years old.	Am 18 ani.
I'm 25 years old.	Am 25 de ani.
I'm from Romania.	Sunt din România.
I'm here to help.	Sunt aici să ajut.
I'm not a doctor.	Nu sunt medic.
I'm not a parent.	Eu nu sunt părinte.
I'm not busy now.	Nu sunt ocupat acum.
I'm not sure why.	Nu sunt sigur de ce.
If not now, when?	Dacă nu acum, atunci când?
Is that an order?	E un ordin?
Is the bank open?	E banca deschisă?
Is the lake deep?	E adânc lacul?
Is your son here?	Fiul tău este aici?
Isn't this great?	Nu este asta minunat?
It is impossible.	Imposibil!
It's Tom's phone.	Este telefonul lui Tom.
It's a sunflower.	Este o floarea-soarelui.
It's really good.	E chiar bine.
Leave this to me.	Lasă-mi-o mie.
Let's get moving.	Să ne mișcăm.
Let's get moving.	Să pornim.
Let's just begin.	Să începem.
Let's start over.	Să începem din nou.
Mary is my niece.	Mary este nepoata mea.
My mouth is numb.	Gura mea este amorțită.
Nice to meet you.	Îmi pare bine să te cunosc!
Nice to meet you.	Îmi pare bine de cunoștință!
Nice to meet you.	Îmi pare bine să vă cunosc!
No one helped me.	Nimeni nu m-a ajutat.
No one is coming.	Nimeni nu vine.
No one thinks so.	Nimeni nu gândește așa.
No one will know.	Nimeni nu va ști.
No pain, no gain!	Nu e câștig fără osteneală.
No pain, no gain.	Nu e câștig fără osteneală.
Nobody taught me.	Nimeni nu m-a învățat.
Nobody will know.	Nimeni nu va ști.
Now I'm done for.	Acum sunt terminat.
Now that's funny.	Acum asta este amuzant.
Please be polite.	Te rugăm să fii politicos.
Please don't cry.	Te rog, nu plânge.
See you tomorrow.	Ne vedem mâine.
She is mad at me.	E furioasă pe mine.
She kept working.	Ea a continuat să muncească.
She worships him.	Ea îl adoră.
Stand up, please.	Ridică-te, te rog!
Tell Tom to wait.	Spune-i lui Tom să aștepte.
Tell me about it!	Povestește-mi!
That car is mine.	Maşina aceea este a mea.
That's fortunate.	Asta e cu noroc.
That's my answer.	Asta este răspunsul meu.
That's plausible.	Acest lucru este plauzibil.
That's true, too.	Asta e adevărat, de asemenea.
The can is empty.	Conserva este goală.
The curtain fell.	A căzut cortina.
The towel is dry.	Prosopul este uscat.
The week is over.	Săptămâna s-a terminat.
They all drowned.	Ei toți s-au înecat.
They are doctors.	Ei sunt doctori.
They are singers.	Ei sunt cântăreți.
They did nothing.	Ei nu au făcut nimic.
They had no food.	Ei nu aveau nicio mâncare.
They like apples.	Lor le plac merele.
This is my house.	Asta e casa mea.
Today I'm online.	Astăzi sunt on-line.
Tom is a recluse.	Tom este un pustnic.
Tom is deceitful.	Tom este viclean.
Tom is reluctant.	Tom este șovăitor.
Tom likes horses.	Lui Tom îi plac caii.
Tom looked at it.	Tom s-a uitat la asta.
Tom looks strong.	Tom pare puternic.
Tom lost his way.	Tom și-a pierdut drumul.
Tom shot at Mary.	Tom a tras în Mary.
Tom was our hero.	Tom era eroul nostru.
We can't give up.	Nu putem renunța.
We have to speak.	Trebuie să vorbim.
We have to start.	Trebuie să începem.
We must evacuate.	Trebuie să evacuăm.
We're having fun.	Noi ne distrăm.
We're lifeguards.	Suntem salvamari.
What a good idea!	Ce idee bună!
What do you mean?	Ce vrei să spui?
What do you need?	De ce ai nevoie?
What do you want?	Ce vrei?
What have I done?	Ce am făcut?
What is your age?	Câți ani ai?
What's your idea?	Care este ideea ta?
What's your name?	Cum te cheamă?
When do we begin?	Când începem?
When do we start?	Când începem?
When will it end?	Când se va termina aceasta?
Where is my book?	Unde e cartea mea?
Where's the bank?	Unde e banca?
Which is correct?	Care e corect?
Who are you with?	Cu cine ești?
Who brought this?	Cine a adus asta?
Who will help me?	Cine mă va ajuta?
Why are you here?	De ce ești aici?
You are hopeless.	Ești fără speranță.
You are wavering.	Tremuri.
