"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EncPorchSF","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SalePrice"
"11",11,"20","RL",100,10175,NA,"IR1","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",6,5,1964,1964,"Gable","HdBoard","Plywood","BrkFace",272,"Avg","Avg","CBlock","Avg","Avg","No","BLQ",490,"Unf",0,935,1425,"GasA","AboveAvg","Y","SBrkr",1425,0,0,1425,0,0,2,0,3,1,"Avg",7,"Typ",1,"AboveAvg","Attchd",1964,"RFn",2,576,"Avg","Avg","Y",0,0,407,0,NA,NA,NA,0,7,2008,"WD",180500
"12",12,"120","RL",43,3182,NA,"Reg","Lvl","Inside","Gtl","other","Norm","TwnhsE","1Story",7,5,2005,2006,"Gable","VinylSd","VinylSd","BrkFace",16,"AboveAvg","Avg","PConc","AboveAvg","Avg","Av","GLQ",16,"Unf",0,1357,1373,"GasA","AboveAvg","Y","SBrkr",1555,0,0,1555,0,0,2,0,2,1,"AboveAvg",7,"Typ",1,"Avg","Attchd",2005,"Fin",2,430,"Avg","Avg","Y",143,20,0,0,NA,NA,NA,0,5,2009,"WD",192500
"13",13,"60","RL",75,7950,NA,"IR1","Bnk","Corner","Gtl","Edwards","Norm","1Fam","2Story",6,6,1977,1977,"Hip","HdBoard","Plywood","BrkFace",140,"Avg","Avg","CBlock","Avg","Avg","No","BLQ",535,"Unf",0,155,690,"GasA","Avg","Y","SBrkr",698,728,0,1426,0,0,1,1,3,1,"Avg",6,"Typ",0,NA,"Attchd",1977,"Fin",2,440,"Avg","Avg","Y",252,0,0,0,NA,"MnPrv",NA,0,7,2009,"WD",159500
"14",14,"20","RL",80,9600,NA,"Reg","Lvl","other","Gtl","other","Feedr","1Fam","1Story",6,8,1976,1976,"Gable","MetalSd","MetalSd","None",0,"Avg","Avg","CBlock","AboveAvg","Avg","Gd","ALQ",978,"Unf",0,284,1262,"GasA","AboveAvg","Y","SBrkr",1262,0,0,1262,0,1,2,0,3,1,"Avg",6,"Typ",1,"Avg","Attchd",1976,"RFn",2,460,"Avg","Avg","Y",298,0,0,0,NA,NA,NA,0,5,2007,"WD",181500
"15",15,"70","RL",66,6858,NA,"Reg","Bnk","Corner","Gtl","other","Norm","1Fam","2Story",6,4,1915,1950,"Gable","Wd Sdng","Wd Sdng","None",0,"Avg","Avg","PConc","AboveAvg","Avg","No","Unf",0,"Unf",0,806,806,"GasA","Avg","N","FuseF",841,806,0,1647,1,0,1,1,4,1,"BelowAvg",6,"Typ",0,NA,"Detchd",1920,"Unf",1,216,"Avg","Avg","Y",0,66,136,0,NA,NA,NA,0,5,2010,"WD",128000
"16",16,"70","RM",60,9600,"Grvl","Reg","Lvl","Inside","Gtl","OldTown","Norm","1Fam","2Story",4,2,1900,1950,"Gable","other","other","None",0,"Avg","Avg","BrkTil","Avg","BelowAvg","No","Unf",0,"Unf",0,1095,1095,"other","BelowAvg","N","SBrkr",1095,679,0,1774,1,0,2,0,4,2,"Avg",8,"Min2",0,NA,"2Types",1920,"Unf",3,779,"BelowAvg","BelowAvg","N",0,0,90,0,NA,NA,NA,0,5,2006,"WD",87000
"17",17,"20","RL",77,10010,NA,"Reg","Lvl","Inside","Mod","Mitchel","Norm","1Fam","1Story",5,5,1974,1975,"Gable","HdBoard","HdBoard","None",0,"Avg","Avg","CBlock","AboveAvg","Avg","Av","ALQ",1071,"LwQ",123,195,1389,"GasA","AboveAvg","Y","SBrkr",1389,0,0,1389,1,0,1,0,2,1,"Avg",6,"Typ",1,"Avg","Attchd",1975,"RFn",2,418,"Avg","Avg","Y",240,38,0,0,NA,NA,NA,0,4,2006,"WD",170000
"18",18,"30","RL",55,10267,NA,"Reg","Lvl","Inside","Gtl","BrkSide","RR","1Fam","1Story",6,7,1918,2000,"Gable","other","Wd Shng","None",0,"Avg","AboveAvg","BrkTil","Avg","AboveAvg","Mn","Rec",210,"ALQ",606,0,816,"GasA","AboveAvg","Y","SBrkr",838,0,0,838,1,0,1,0,2,1,"BelowAvg",5,"Typ",0,NA,"Detchd",1961,"Fin",1,275,"Avg","Avg","N",0,0,112,0,NA,"MnWw",NA,0,5,2008,"WD",130000
"19",19,"50","RM",50,5500,NA,"Reg","Lvl","Corner","Gtl","OldTown","Norm","1Fam","1.5Fin",5,7,1929,2001,"Gable","Wd Sdng","Wd Sdng","None",0,"Avg","Avg","BrkTil","Avg","Avg","No","LwQ",234,"ALQ",692,0,926,"GasA","Avg","Y","SBrkr",926,0,390,1316,1,0,1,0,3,1,"Avg",6,"Typ",0,NA,"Detchd",1974,"Unf",2,484,"Avg","Avg","Y",0,0,0,0,NA,NA,NA,0,4,2010,"WD",130000
"20",20,"80","RL",80,9600,NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","SLvl",6,6,1955,1996,"Hip","other","other","None",0,"Avg","Avg","CBlock","Avg","Avg","Av","BLQ",831,"Unf",0,161,992,"GasA","AboveAvg","Y","SBrkr",1661,0,0,1661,1,0,1,0,3,1,"AboveAvg",8,"Typ",1,"Avg","BuiltIn",1955,"RFn",1,377,"Avg","Avg","Y",0,28,178,0,NA,"MnPrv",NA,0,10,2008,"WD",165500
"21",21,"60","RL",52,46589,NA,"IR2","Lvl","CulDSac","Gtl","NoRidge","Norm","1Fam","2Story",8,7,1994,2005,"Hip","VinylSd","VinylSd","BrkFace",528,"AboveAvg","Avg","PConc","AboveAvg","AboveAvg","No","GLQ",1361,"Rec",180,88,1629,"GasA","AboveAvg","Y","SBrkr",1686,762,0,2448,1,0,2,1,4,1,"AboveAvg",8,"Typ",1,"Avg","Attchd",1994,"RFn",3,711,"Avg","Avg","Y",517,76,0,0,NA,NA,NA,0,7,2009,"WD",402000
"22",22,"60","RL",92,11952,NA,"Reg","Lvl","Inside","Gtl","NWAmes","PosA","1Fam","2Story",7,6,1977,1977,"other","other","Plywood","None",0,"Avg","Avg","CBlock","AboveAvg","Avg","No","Unf",0,"Unf",0,808,808,"GasA","Avg","Y","SBrkr",1161,808,0,1969,0,0,2,1,3,1,"Avg",8,"Typ",1,"AboveAvg","Attchd",1977,"RFn",2,534,"Avg","Avg","Y",0,0,276,0,NA,NA,NA,0,11,2007,"WD",190000
"23",23,"50","RM",40,5436,NA,"Reg","Lvl","Inside","Gtl","IDOTRR","Norm","1Fam","1.5Fin",4,8,1922,2007,"Gable","VinylSd","VinylSd","None",0,"Avg","AboveAvg","BrkTil","Avg","Avg","No","BLQ",735,"Unf",0,61,796,"GasA","AboveAvg","Y","SBrkr",796,358,0,1154,1,0,1,0,3,1,"AboveAvg",7,"Typ",0,NA,"Detchd",1922,"Unf",1,240,"Avg","Avg","N",0,96,0,0,NA,"MnPrv",NA,0,5,2010,"WD",125500
"24",24,"120","RL",43,3182,NA,"Reg","Lvl","Inside","Gtl","other","Norm","TwnhsE","1Story",7,5,2005,2006,"Gable","VinylSd","VinylSd","BrkFace",14,"AboveAvg","Avg","PConc","AboveAvg","AboveAvg","No","GLQ",16,"Unf",0,1330,1346,"GasA","AboveAvg","Y","SBrkr",1504,0,0,1504,0,0,2,0,2,1,"AboveAvg",7,"Typ",1,"AboveAvg","Attchd",2005,"Fin",2,437,"Avg","Avg","Y",156,20,0,0,NA,NA,NA,0,5,2008,"WD",191000
"25",25,"20","RL",73,8925,NA,"IR1","HLS","Inside","Gtl","Timber","Norm","1Fam","1Story",8,5,2007,2007,"Gable","VinylSd","VinylSd","None",0,"AboveAvg","Avg","PConc","AboveAvg","Avg","Av","GLQ",16,"Unf",0,1450,1466,"GasA","AboveAvg","Y","SBrkr",1466,0,0,1466,0,0,2,0,3,1,"AboveAvg",7,"Typ",0,NA,"Attchd",2007,"Fin",3,610,"Avg","Avg","Y",100,18,0,0,NA,NA,NA,0,7,2009,"WD",201000
"26",26,"120","RL",NA,3196,NA,"Reg","Lvl","Inside","Gtl","other","Norm","TwnhsE","1Story",7,5,2003,2004,"Gable","VinylSd","VinylSd","BrkFace",18,"AboveAvg","Avg","PConc","AboveAvg","Avg","Gd","Unf",0,"Unf",0,1374,1374,"GasA","AboveAvg","Y","SBrkr",1557,0,0,1557,0,0,2,0,2,1,"AboveAvg",7,"Typ",1,"Avg","Attchd",2003,"Fin",2,420,"Avg","Avg","Y",143,20,0,0,NA,NA,NA,0,10,2006,"WD",234000
"27",27,"50","RL",60,6000,NA,"Reg","Lvl","Inside","Gtl","other","Norm","1Fam","1.5Fin",5,5,1926,1950,"Gable","Wd Sdng","Wd Sdng","None",0,"Avg","BelowAvg","BrkTil","Avg","Avg","No","Unf",0,"Unf",0,1008,1008,"GasA","AboveAvg","Y","SBrkr",1008,0,514,1522,0,0,2,0,4,1,"Avg",7,"Typ",0,NA,NA,NA,NA,0,0,NA,NA,"P",0,0,138,0,NA,NA,NA,0,6,2006,"WD",102000
"28",28,"20","RL",67,16285,NA,"IR2","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",7,5,2001,2002,"Gable","VinylSd","VinylSd","None",0,"AboveAvg","Avg","PConc","AboveAvg","Avg","No","Unf",0,"Unf",0,1413,1413,"GasA","AboveAvg","Y","SBrkr",1430,0,0,1430,0,0,2,0,3,1,"AboveAvg",6,"Typ",0,NA,"Attchd",2001,"RFn",2,605,"Avg","Avg","Y",0,33,0,0,NA,NA,NA,0,6,2009,"WD",187100
"29",29,"45","RM",50,5000,NA,"Reg","Lvl","Inside","Gtl","IDOTRR","RR","1Fam","1.5Unf",5,6,1941,1950,"Gable","MetalSd","MetalSd","None",0,"Avg","Avg","CBlock","Avg","Avg","Av","BLQ",116,"Unf",0,604,720,"GasA","BelowAvg","N","FuseF",803,0,0,803,0,0,1,0,2,1,"Avg",5,"Typ",0,NA,"Detchd",1941,"Unf",2,360,"Avg","Avg","Y",0,0,244,0,NA,NA,NA,0,12,2007,"WD",87000
"30",30,"20","RL",85,14331,NA,"Reg","Lvl","Inside","Gtl","Timber","Norm","1Fam","1Story",8,5,2002,2002,"Hip","VinylSd","VinylSd","BrkFace",630,"AboveAvg","Avg","PConc","AboveAvg","Avg","Gd","GLQ",1274,"Unf",0,526,1800,"GasA","AboveAvg","Y","SBrkr",1800,0,0,1800,1,0,2,0,3,1,"AboveAvg",7,"Typ",1,"AboveAvg","Attchd",2002,"Fin",3,765,"Avg","Avg","Y",270,78,0,0,NA,NA,NA,0,5,2006,"WD",312500
"31",31,"20","RL",NA,9819,NA,"IR1","Lvl","Inside","Mod","Mitchel","Norm","1Fam","1Story",6,5,1977,1977,"Gable","Plywood","other","None",0,"Avg","Avg","PConc","Avg","Avg","Gd","ALQ",1567,"Unf",0,0,1567,"GasA","Avg","Y","SBrkr",1567,0,0,1567,1,0,2,0,2,1,"AboveAvg",5,"Typ",2,"Avg","Attchd",1977,"RFn",2,714,"Avg","Avg","Y",264,32,0,0,NA,NA,NA,0,5,2009,"WD",196000
"32",32,"60","RL",NA,10382,NA,"IR1","Lvl","Corner","Gtl","NWAmes","PosN","1Fam","2Story",7,6,1973,1973,"Gable","HdBoard","HdBoard","Stone",240,"Avg","Avg","CBlock","AboveAvg","Avg","Mn","ALQ",859,"BLQ",32,216,1107,"GasA","AboveAvg","Y","SBrkr",1107,983,0,2090,1,0,2,1,3,1,"Avg",7,"Typ",2,"Avg","Attchd",1973,"RFn",2,484,"Avg","Avg","Y",235,204,228,0,NA,NA,"Shed",350,11,2009,"WD",200000
"33",33,"60","RL",92,11764,NA,"IR1","Lvl","CulDSac","Gtl","NoRidge","Norm","1Fam","2Story",8,7,1999,2007,"Gable","VinylSd","VinylSd","BrkFace",348,"AboveAvg","Avg","PConc","AboveAvg","Avg","No","GLQ",524,"Unf",0,628,1152,"GasA","AboveAvg","Y","SBrkr",1164,1106,0,2270,0,0,2,1,4,1,"AboveAvg",9,"Typ",1,"AboveAvg","Attchd",1999,"Fin",3,671,"Avg","Avg","Y",132,57,0,0,NA,NA,NA,0,4,2010,"WD",290000
"34",34,"20","RL",80,8816,NA,"Reg","Lvl","Corner","Gtl","Sawyer","Feedr","1Fam","1Story",5,6,1963,1963,"Gable","VinylSd","VinylSd","None",0,"Avg","Avg","PConc","Avg","Avg","No","Rec",651,"Unf",0,470,1121,"GasA","Avg","Y","SBrkr",1121,0,0,1121,1,0,1,0,3,1,"Avg",5,"Typ",0,NA,"Detchd",1963,"Unf",2,480,"Avg","Avg","Y",0,80,0,0,NA,"MnPrv",NA,0,6,2009,"WD",139000
"35",35,"20","FV",62,7500,"Pave","Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","1Story",7,5,2005,2005,"Gable","VinylSd","VinylSd","None",0,"AboveAvg","Avg","PConc","AboveAvg","Avg","No","Unf",0,"Unf",0,1257,1257,"GasA","AboveAvg","Y","SBrkr",1266,0,0,1266,0,0,2,0,3,1,"AboveAvg",6,"Typ",1,"Avg","Attchd",2005,"Unf",2,453,"Avg","Avg","Y",38,144,0,0,NA,NA,NA,0,4,2006,"WD",176000
"36",36,"20","RL",70,9100,NA,"Reg","Lvl","Corner","Gtl","NAmes","Feedr","1Fam","1Story",5,5,1958,1958,"Gable","VinylSd","VinylSd","None",0,"Avg","Avg","CBlock","Avg","Avg","No","BLQ",521,"LwQ",174,169,864,"GasA","Avg","Y","SBrkr",864,0,0,864,1,0,1,0,3,1,"Avg",5,"Typ",0,NA,"Detchd",1964,"Unf",2,624,"Avg","Avg","Y",0,0,0,0,NA,NA,NA,0,7,2006,"WD",129900
"37",37,"80","RL",NA,12328,NA,"IR1","Lvl","Inside","Gtl","Mitchel","Norm","1Fam","SLvl",6,5,1976,1976,"Gable","HdBoard","HdBoard","BrkFace",335,"Avg","Avg","CBlock","Avg","Avg","Av","GLQ",539,"Unf",0,473,1012,"GasA","Avg","Y","SBrkr",1034,0,0,1034,1,0,1,0,3,1,"Avg",6,"Typ",0,NA,"Attchd",1976,"Unf",3,888,"Avg","Avg","Y",0,0,0,0,NA,NA,NA,0,5,2010,"WD",169900
"38",38,"120","RL",40,5664,NA,"IR1","Lvl","Inside","Gtl","other","Norm","TwnhsE","1Story",8,5,2000,2000,"Gable","CemntBd","CmentBd","None",0,"AboveAvg","Avg","PConc","AboveAvg","Avg","No","GLQ",1158,"Unf",0,343,1501,"GasA","AboveAvg","Y","SBrkr",1659,0,0,1659,1,0,2,0,2,1,"AboveAvg",5,"Typ",1,"AboveAvg","Attchd",2000,"Fin",2,499,"Avg","Avg","Y",212,59,0,0,NA,NA,NA,0,10,2009,"WD",278000
"39",39,"85","RL",88,11782,NA,"IR1","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","SFoyer",5,7,1961,1995,"Gable","HdBoard","HdBoard","None",0,"Avg","Avg","CBlock","Avg","Avg","Av","ALQ",899,"Unf",0,210,1109,"GasA","Avg","Y","SBrkr",1155,0,0,1155,1,0,1,0,3,1,"AboveAvg",6,"Min2",0,NA,"Detchd",1987,"Unf",2,576,"Avg","Avg","Y",192,0,0,0,NA,"MnPrv","Shed",400,6,2010,"WD",148000
"40",40,"20","RL",60,7180,NA,"IR1","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",5,7,1972,1972,"Hip","HdBoard","HdBoard","None",0,"Avg","Avg","CBlock","Avg","Avg","Av","ALQ",390,"Unf",0,474,864,"GasA","Avg","Y","SBrkr",864,0,0,864,0,0,1,0,3,1,"Avg",5,"Typ",0,NA,"Detchd",1989,"Unf",1,352,"Avg","Avg","Y",0,0,0,0,NA,NA,NA,0,5,2008,"WD",127000
"41",41,"60","RL",80,10480,NA,"Reg","Lvl","Inside","Gtl","NWAmes","Norm","1Fam","2Story",7,6,1976,1976,"Hip","Plywood","Plywood","BrkFace",660,"Avg","Avg","CBlock","Avg","Avg","No","ALQ",403,"Unf",0,400,803,"GasA","Avg","Y","SBrkr",1098,866,0,1964,0,0,2,1,4,1,"Avg",8,"Typ",1,"AboveAvg","Attchd",1976,"RFn",2,483,"Avg","Avg","Y",0,69,0,0,NA,NA,NA,0,9,2008,"WD",205000
"42",42,"160","RM",21,1491,NA,"Reg","Lvl","Inside","Gtl","other","Norm","TwnhsE","SFoyer",4,6,1972,1972,"Gable","CemntBd","CmentBd","None",0,"Avg","Avg","CBlock","AboveAvg","Avg","Av","LwQ",150,"GLQ",480,0,630,"GasA","AboveAvg","Y","SBrkr",630,0,0,630,1,0,1,0,1,1,"Avg",3,"Typ",0,NA,NA,NA,NA,0,0,NA,NA,"Y",96,24,0,0,NA,NA,NA,0,5,2010,"WD",75500
"43",43,"60","RL",85,11075,NA,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","2Story",6,5,1969,1969,"Gable","HdBoard","HdBoard","None",0,"Avg","Avg","CBlock","BelowAvg","Avg","Mn","ALQ",500,"LwQ",276,176,952,"GasA","Avg","Y","SBrkr",1092,1020,0,2112,0,0,2,1,4,1,"Avg",9,"Typ",2,"AboveAvg","Attchd",1969,"Unf",2,576,"Avg","Avg","Y",280,0,0,0,NA,NA,NA,0,6,2008,"WD",206900
"44",44,"20","RL",78,9317,NA,"IR1","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",6,5,2006,2006,"Gable","VinylSd","VinylSd","None",0,"AboveAvg","Avg","PConc","AboveAvg","Avg","No","GLQ",24,"Unf",0,1290,1314,"GasA","AboveAvg","Y","SBrkr",1314,0,0,1314,0,0,2,0,3,1,"AboveAvg",6,"Typ",1,"AboveAvg","Attchd",2006,"RFn",2,440,"Avg","Avg","Y",0,22,0,0,NA,NA,NA,0,3,2007,"WD",176432
"45",45,"60","RL",NA,18800,NA,"IR1","Lvl","other","Gtl","NWAmes","Norm","1Fam","2Story",6,5,1976,1976,"Gable","HdBoard","HdBoard","BrkFace",120,"Avg","Avg","PConc","AboveAvg","Avg","Mn","GLQ",712,"Unf",0,84,796,"GasA","Avg","Y","SBrkr",790,784,0,1574,1,0,2,1,3,1,"Avg",6,"Typ",1,"Avg","Attchd",1976,"Fin",2,566,"Avg","Avg","Y",306,111,0,0,NA,NA,NA,0,7,2006,"WD",190000
"46",46,"20","RL",80,9600,NA,"Reg","Lvl","Inside","Gtl","NWAmes","Norm","1Fam","1Story",7,6,1973,1973,"Hip","HdBoard","HdBoard","BrkFace",320,"Avg","Avg","CBlock","Avg","Avg","No","ALQ",916,"Unf",0,326,1242,"GasA","BelowAvg","Y","SBrkr",1242,0,0,1242,0,0,1,1,3,1,"Avg",6,"Typ",1,"Avg","Attchd",1973,"Unf",2,528,"Avg","Avg","Y",0,0,0,0,NA,NA,NA,0,9,2007,"WD",175500
"47",47,"20","RL",60,8070,NA,"Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",4,5,1994,1995,"Gable","VinylSd","VinylSd","None",0,"Avg","Avg","PConc","AboveAvg","Avg","No","GLQ",588,"Unf",0,402,990,"GasA","AboveAvg","Y","SBrkr",990,0,0,990,1,0,1,0,3,1,"Avg",5,"Typ",0,NA,NA,NA,NA,0,0,NA,NA,"Y",0,0,0,0,NA,NA,NA,0,8,2007,"WD",123600
"48",48,"30","RM",47,4608,NA,"Reg","Lvl","Corner","Gtl","OldTown","Artery","1Fam","1Story",4,6,1945,1950,"Gable","MetalSd","MetalSd","None",0,"Avg","AboveAvg","CBlock","Avg","Avg","No","Unf",0,"Unf",0,747,747,"GasA","Avg","Y","SBrkr",747,0,0,747,0,0,1,0,2,1,"Avg",4,"Typ",0,NA,"Attchd",1945,"Unf",1,220,"Avg","Avg","Y",0,0,0,0,NA,NA,NA,0,6,2010,"WD",80000
"49",49,"120","RM",32,4500,NA,"Reg","Lvl","other","Gtl","Mitchel","Norm","TwnhsE","1Story",6,5,1998,1998,"Hip","VinylSd","VinylSd","BrkFace",443,"Avg","AboveAvg","PConc","AboveAvg","AboveAvg","No","GLQ",1201,"Unf",0,36,1237,"GasA","AboveAvg","Y","SBrkr",1337,0,0,1337,1,0,2,0,2,1,"Avg",5,"Typ",0,NA,"Attchd",1998,"Fin",2,405,"Avg","Avg","Y",0,199,0,0,NA,NA,NA,0,3,2006,"WD",153500
"50",50,"20","RL",60,7024,NA,"Reg","Lvl","Inside","Gtl","Edwards","Norm","1Fam","1Story",5,5,2005,2006,"Gable","VinylSd","VinylSd","None",0,"Avg","Avg","PConc","AboveAvg","AboveAvg","No","ALQ",980,"Unf",0,110,1090,"GasA","AboveAvg","Y","SBrkr",1090,0,0,1090,1,0,1,1,2,1,"Avg",5,"Typ",0,NA,"Attchd",2005,"Fin",2,450,"Avg","Avg","Y",0,49,0,0,NA,NA,NA,0,6,2007,"WD",157000
